Basque (eu),Spanish (es),Traduccion
...uxe da medikua izatearen eragozpenetako bat.,Ésa es una de las desgracias de ser médico.,Esa es una de las desventajas de ser médico.
"Esan nion joateko medikuarenera, baina ez du egingo ezer...","Le pedí que viera a un médico, pero no hará nada...","Le dije que fuera al médico, pero no hará nada..."
Bihar medikuarengana joango gara.,Mañana iremos a ver al médico.,Mañana iremos al médico.
"Medikua naizenez, zinez diotsut oker zaudela.","Como médico, puedo asegurarle que se equivoca.","Como soy médico, sinceramente te digo que estás equivocado."
"Erantzuidazu, Rosalie. Medikuak dio urduri dagoela.",El médico dice que está inquieto.,"Respóndeme, Rosalie. El médico dice que está nerviosa."
Poliziako medikuak zabarrak dira.,"Ya conoces a los médicos de la policía, no tienen estilo.",Los médicos de la policía son negligentes.
Medikuak esan zidan beste kolpe emozional batek senda dezakeela. Eta hori ere ez da ziurra.,"Le pregunté al médico y me dijo que sólo otro impacto emocional te la quitaría, y tampoco es seguro.",El médico me dijo que otro golpe emocional puede sanarme. Y eso tampoco es seguro.
"Psikiatrarengana eramateko esango nizuke, neurologo batengana, are kabezerako medikuarengana.","Te diría que la llevases al psiquiatra, al psicólogo, al neurólogo más cercano, o incluso al médico de cabecera.","Te aconsejaría que lo llevaras a un psiquiatra, a un neurólogo, incluso al médico de cabecera."
Jakin behar dut nora doan eta zer egiten duen medikuarengana joan aurretik.,"Tengo que saber adónde va y qué hace, antes de acudir a un médico.",Necesito saber adónde va y qué hace antes de ir al médico.
Medikuak dio gaizki dagoela.,El doctor dice que se encuentra mal.,El médico dice que está mal.
"Lasaiago dago orain, medikua dela medio.",Está más tranquila ahora que la vio un médico.,"Está más tranquilo ahora, gracias al médico."
"Medikuak esan du, ezta, Jeanne?",Te levantarás en unos días. Lo dijo el doctor.,"El médico lo ha dicho, ¿verdad, Jeanne?"
Medikua da.,Un Doctor.,Es médico/a.
-Nor da bere medikua?,- ¿El doctor que la atiende?,¿Quién es su médico?
Medikuak bukatu du azterketa. Eta zurekin egon nahi du.,"El forense ha teminado su reconocimiento, y quiere hablar con usted.",El médico ha terminado el examen. Y quiere estar contigo.
"-Lasai, medikua naiz. -Hara!","-No se preocupe, soy médico.","-Cálmate, soy médico.
-¡Vaya!"
Medikuak eta emakumeak!,Sí. ¡Médicos y mujeres!,¡Médicos y mujeres!
- Etxeko medikua!,- Personal.,¡El médico de la casa!
Ez. Medikuak esan zidan txarra zela nire termostatoarentzat.,El doctor dijo que era perjudicial para mi termostato.,No. El médico me dijo que era malo para mi termostato.
"Medikua naiz, utzi pasatzen.","Soy médico, déjenme pasar.","Soy médico, déjame pasar."
Medikuaren esana zehatz bete eta une oroz zaindu ezazue.,"Sigan las instrucciones de la carta del doctor, y no lo descuiden ni por un momento.",Cumplan al pie de la letra lo dicho por el médico y cuídense en todo momento.
Hahi duzu medikuari abisatzea?,¿Quieren que llame a un médico?,¿Quieres avisar al médico?
Uda itsas ertzean lasai pasatzeko medikuak esan dit.,'El médico me ha recomendado un verano tranquilo en la playa,El médico me ha dicho que pase el verano tranquilamente en la costa.
"Horrela jarraitzen baduzu, medikuarengana joan beharko duzu.","Si esto sigue así, tendrá que ir al médico. Sí.","Si sigues así, tendrás que ir al médico."
- Medikuari deituko diot.,- Llamaré al doctor.,Llamaré al médico.
"Medikuari deituz gero, abisua emango du. Hori da nahi duzuna?","Si llamas a un doctor, la denunciará. ¿Quieres eso?","Si llamas al médico, dará el aviso. ¿Eso es lo que quieres?"
Ez deitu medikuari inolaz ere.,No debes llamar a un doctor bajo ninguna circunstancia.,No llames al médico bajo ningún concepto.
- Medikuari deitu behar izan nion.,Llamé a un doctor. Tuve que hacerlo.,Tuve que llamar al médico.
Eskualdeko medikuari deitu behar izan zuen.,Debió llamar al médico de la zona.,Tuvo que llamar al médico regional.
- Non da medikua?,- ¿Dónde está el médico?,¿Dónde está el médico?
Erreskate postuetan medikuak dituztela esan du.,El dijo que los puestos de rescate tienen médicos.,Ha dicho que tienen médicos en los puestos de rescate.
Gogorarazten dizuet medikua aztia ere badela.,"Les recuerdo que un médico, es también un hechicero.",Os recuerdo que el médico también es un mago.
Medikua ongilea da.,El médico es un benefactor.,El médico es el benefactor.
Medikua zara!,¡Es médico!,¡Eres médico!
Hobe duzu medikuarengana joan.,"Ve al médico, que es lo mejor.",Es mejor que vayas al médico.
Zoaz medikuarengana!,"¡Ve al doctor, ve!",¡Ve al médico!
Zoaz medikuarengana.,Tendrás que ver a un médico.,Ve al médico.
"Medikuak esan zidan neumonia zela geroago hil baitzen, gripe-izurri betean.","El doctor dijo fue neumonía pues sucedió meses después, durante una epidemia.","El médico me dijo que era neumonía, ya que murió después, en plena epidemia de gripe."
Susmagarriari medikuaren eta abokatuaren laguntza ukatzeko?,¿Negar atención médica y abogado? ¿Dónde ha estado?,¿Negar al sospechoso la ayuda del médico y del abogado?
"Zerbait sartu nuen lehen aldian... Infekzioa izan nuen, eta kanpamenduko medikuak atera behar izan zidan.","La primera vez que me metí uno... se me infectó tanto, que me lo tuvo que sacar el médico del campamento.","La primera vez que metí algo... Tuve una infección, y el médico del campamento tuvo que sacármelo."
X izpien medikua preso bat da izatez... Hindua edo horrelako zerbait.,El médico de rayos X es un convicto-- una especie de hindú o algo.,"El médico de rayos X es un preso, en realidad... hindú o algo así."
Medikua umea zaintzen ari da.,Está recibiendo atención médica.,El médico está cuidando al niño.
Lo gehitxo egiten duela suposatzen dut... baina medikuak dio hori normala dela gertatu zena ikusita.,"Bueno, ella duerme demasiado, supongo, pero el doctor dijo que es normal después de todo esto.",Supongo que duerme demasiado... pero el médico dice que eso es normal visto lo que pasó.
"Batzu abokatuak dira, besteak medikuak.","Un tipo es abogado, otro tipo es doctor.","Algunos son abogados, otros médicos."
"Gero, medikuak esan bezala, ale bana bidali nien 4 editoreri.","Como me aconsejó el Dr. Bicard, envié ejemplares a cuatro editoriales parisinas.","Luego, como dijo el médico, les envié un ejemplar a cada uno de los cuatro editores."
Medikuak esan dizu ez mugitzeko.,El doctor dice que no debe moverse.,El médico te ha dicho que no te muevas.
Joan dadila medikuarengana etxeratzean. Egia.,- Puede ver a un médico cuando lleguemos.,Que vaya al médico cuando vuelva a casa. Es verdad.
"Ziurtatu medikuak agiri bat ematen dizula, aditu?",Asegúrate de ir al médico por un certificado. ¿Me oyes?,"Asegúrate de que el médico te dé un documento, ¿entendido?"
Medikuak esan dit golf-zorroak astean bitan eramateko.,Mi doctor sugirió que cargara bolsas todas las semanas.,El médico me ha dicho que lleve las bolsas de golf dos veces a la semana.
Medikuaren zereginak!,Llaman al doctor.,¡Las tareas del médico!
"Ez kezkatu honengatik, medikuak errezetatu du eta.",No le haga caso. Lo recetó el doctor.,"No te preocupes por esto, el médico lo ha recetado."
"Hauxe da medikua, bere emaztea...",Este es el doctor y su esposa.,"Este es el médico, su esposa..."
"Uste duzu ""beharbada"" eraman beharko genukeela medikuarenera?","¿Crees que ""quizás"" habría que llevarlo al médico?",¿Crees que quizás deberíamos llevarle al médico?
Nire anaia medikua da.,Mi hermano es médico. Una eminencia en su campo.,Mi hermano es médico.
Medikuarekin egon naiz eta dena konponduta dago.,He visto al médico... todo está arreglado.,He estado con el médico y todo está arreglado.
"Berandu itzultzen direnak, txosten medikua ekarrita ere, zigortu eta espetxe itxi batera joango da.","Ningún informe médico será válido. Todo retraso, incluso provisto de un informe, será castigado con el reenvío a la prisión vigilada. Para vuestra información.","Los que regresen tarde, aun presentando un informe médico, serán castigados e irán a una prisión cerrada."
"Begira, Mehmet; gaixo batek medikuaren laguntza nahi badu zintzo eta argi jokatu behar du berarekin.","- Mira Mehmet, si un enfermo quiere que su médico le sea útil, debe ser honrado y claro con él.","Mira, Mehmet; si un paciente quiere la ayuda del médico, debe actuar con él de forma sincera y clara."
"Berandu itzultzen direnak, txosten medikua ekarrita ere, zigortu eta espetxe itxi batera joango da.","Ningún informe médico será válido. Cualquier retraso, incluso provisto de un informe, será castigado con el envío a la prisión vigilada.","Los que regresen tarde, aunque traigan un informe médico, serán castigados e irán a una prisión cerrada."
Medikuak dio haize pixka bat hartu behar duela.,El médico dijo que debe tomar un poco de aire.,El médico dice que debe tomar un poco de aire.
Gure medikua banan-banan aztertzen ari da.,El médico los está revisando uno por uno.,Nuestro médico está examinando uno por uno.
-Medikuarengana joan zara?,lo sé. Me pareció de repente.,¿Has ido al médico?
Medikuak hori esan dit. Eta hortaz?,- ¿Está seguro?,El médico me ha dicho eso. ¿Y de eso qué?
Ez. Medikuak esan dit ez dela Maxen errua.,"No, el doctor dice que no era culpa de Max.",No. El médico me ha dicho que no es culpa de Max.
Uste dut medikuak laster etxera joaten utziko diola.,"Sí, el doctor dijo que pronto podrá salir del hospital.",Creo que el médico pronto le dejará ir a casa.
"Amaren medikuak bidali du, ospitaletik.",Contáctese conmigo...,"El médico de la madre lo ha enviado, desde el hospital."
Lauraren medikua izan nintzen.,Laura era mi paciente. Van a la morgue.,Fui el médico de Laura.
"Leland, zuk egin behar duzuna da medikuaren aginduak jarraitu. Atsedena komeni zaizu. Baina barruko grina hau...",Lo mejor que puedes hacer es seguir las instrucciones del médico.,"Leland, lo que tienes que hacer es seguir las órdenes del médico. Te conviene el descanso. Pero esta pasión interior..."
"Baina pentsa, estatuko zergak, udalekoak, ekipamendua, kostu medikuak, mantenua, administrazio-zergak... Tira, ikusten duzu.","Hay impuestos locales y estatales, gastos de equipamiento médicos y de mantenimiento, tasas administrativas y ya veis los resultados.","Pero piensa, los impuestos estatales, los municipales, el equipamiento, los costes médicos, el mantenimiento, los impuestos administrativos... Bueno, ya ves."
"Zure medikua naiz, Andy.","Yo soy tu médico, Andy.","Soy tu médico, Andy."
- Eta deitu medikua.,- Y llame a un médico.,Y llama al médico.
Deitu duzu medikua?,¿Ha llamado al médico?,¿Has llamado al médico?
Medikua?,¿AI médico?,¿El médico?
Medikua beharko duzu.,Necesitará usted atención médica.,Necesitarás al médico.
"Beraz, hemendik azkar irten nahi baduzu, Bobby-ri zure medikua izaten utzi beharko diozu.",Así que si quieres salir de aquí pronto tendrás que dejar que Bobby sea tu médico.,"Así que, si quieres salir de aquí rápido, tendrás que dejar que Bobby sea tu médico."
"Zure medikua naizenez, Leland, zer gertatu zaio zure ileari?","Bueno, como médico tuyo, Leland ¿qué diablos le ha ocurrido a tu pelo?","Como soy tu médico, Leland, ¿qué le pasó a tu pelo?"
Ez zait inporta medikuak zer dioen.,No me importa lo que dice el doctor.,No me importa lo que dice el médico.
Medikuak dio abestu egin behar dizudala.,El doctor dice que debo cantarte.,El médico dice que tengo que cantarte.
- Medikua da Bob zure laguna?,- ¿Su amigo Bob es doctor?,¿Es tu amigo Bob médico?
"Aita, medikua, erditzean egon zen.","Mi padre, que es médico, asistió el parto.","El padre, el médico, estuvo en el parto."
- Medikua zara?,¿Eres médico?,¿Eres médico?
Shellyk Hayward medikuarenera eraman du haren entzumen arazoa aztertzeko.,Shelly Io llevó al doctor Hayward para que revisara su oído.,Shelly llevó a alguien al doctor Hayward para examinar su problema de audición.
"Noski, medikuaren gastu guztiak ordainduko ditugu.","Por supuesto, pagaremos cualquier gasto médico.","Por supuesto, pagaremos todos los gastos del médico."
"Nire ama hain aztoratua zegoenez, medikuak ez zuen ausardiarik izan tomate kutsatu batek haurdun utzi zuela esateko.",Ante la histeria de mi madre... el doctor no tuvo valor... para decirle que estaba embarazada... de un tomate contaminado.,Mi madre estaba tan alterada que el médico no tuvo el valor de decirle que un tomate contaminado la había dejado embarazada.
"Medikuak hitzegitean, erantzun.","Cuando te hable la doctora, contesta.","Cuando el médico hable, responde."
Medikua al zara?,¿Eres un médico?,¿Eres médico?
"Topalekura zaramatzat, Joek mediku bat bilatuko dizu medikuak sendatuko zaitu eta ondo egongo zara.","Te llevo al lugar del encuentro, Joe te va a buscar un médico... el médico te va a curar y... vas a estar bien.","Te llevo al punto de encuentro, Joe te buscará un médico, el médico te curará y estarás bien."
"Medikuak sendatzen ez badu, ziur hilko da.","Sin atención médica, morirá con seguridad.","Si el médico no lo cura, seguramente morirá."
"Deitu larrialdiak, abokatua, medikua, norbaiti!","Llamen a emergencias, una ambulancia, un abogado, un médico, lo que sea!","¡Llama a emergencias, al abogado, al médico, a alguien!"
Emakume batek ezin zion egiteari utzi. Medikuarengana doa.,Era una mujer que no paraba de toser y que va a ver al médico.,Una mujer no podía dejar de hacerlo. Va al médico.
Medikuak aztertu eta pilula ematen dio.,El médico la ausculta y le da una pastilla.,El médico examina y le da una pastilla.
Medikua bahitu du!,¡Tomó al doctor de rehén!,¡Ha secuestrado al médico!
"Ados; baina zure senarra medikua delako, eta erantzukizuna hartuz papera sinatu didalako.",Sólo porque su esposo es doctor y si él está de acuerdo en asumir toda la responsabilidad.,"De acuerdo; pero porque tu marido es médico, y porque, asumiendo la responsabilidad, me firmó el papel."
Deituko diot medikuari? Ez.,- ¿Llamo a un médico?,¿Le llamo al médico? No.
Medikuak dio hobeto zaudela eta etxera joan zaitezkeela.,Los médicos dicen que puedes irte a casa.,El médico dice que estás mejor y que puedes ir a casa.
Iritsi da auzitegiko medikua?,¿Ha venido el forense?,¿Ha llegado el médico forense?
Medikua!,Medic!,¡Médico!
Non dago medikua?,¿Puedo conseguir un médico?,¿Dónde está el médico?
Medikuak ez dizuete utziko.,Los médicos no los dejarán.,El médico no les dejará.
Ferrero medikuak barkamena eskatzen du.,El Dr. Ferrero pide que le disculpe.,El doctor Ferrero pide perdón.
Analisiak egin ditut eta medikuaren agiria dut. Ez dago batere zalantzarik: zure umea edukiko dut.,"Me hice una prueba, tengo los certificados  y no hay duda de que tendré tu bebé.",Me he hecho análisis y tengo el informe del médico. No hay ninguna duda: tendré a tu hijo/a.
Medikuak berehala ikusi behar du!,Mi amiga está aquí en coma. ¡Tenemos que ver a un médico ya!,¡El médico debe verlo inmediatamente!
"- Medikua orain ikus dezakegu, arren?",-¿Podemos ver a un médico ya?,"¿Podemos ver al médico ahora, por favor?"
Medikua oraintxe bertan behar dugu!,¡Mi amiga se va a morir aquí! ¡Necesitamos a un médico AHORA!,¡Necesitamos al médico ahora mismo!
"Entzun, medikua ikus behar dut.","Escuche, tengo que ver a un médico.","Escucha, tengo que ver al médico."
Medikua naiz.,soy médico.,Soy médico.
"Zu medikua zara, Holloway.",Tú eres médico.,"Tú eres médico, Holloway."
Zer motako medikua zara?,¿qué tipo de doctora eres?,¿Qué tipo de médico eres?
Nire medikuak dio hilean behin.,Mi doctor dice una vez por mes.,Mi médico dice una vez al mes.
Medikuak ohean gelditzeko esan du.,El doctor lo había prohibido.,El médico ha dicho que se quede en la cama.
-Ez al duzu medikua ikusi?,-¿No ha visto al doctor?,¿No has visto al médico?
Medikuaren fakturak,¡Las facturas del médico! ¿Tienes médico?,Las facturas del médico
Deitu medikuari.,Usted llame al médico.,Llama al médico.
Zer esan dizu medikuak?,¿Qué ha dicho el médico?,¿Qué te ha dicho el médico?
"Horrek salbatu zuen, gure kanpamenduko medikua 20 minutuko distantziara zegoelako.",Esto le salvó porque nuestro campamento con el médico estaba a una distancia de 20 minutos.,"Eso lo salvó, porque el médico de nuestro campamento estaba a 20 minutos de distancia."
"Medikuak atseden hartzeko esan zidan eta, beraz, ""Euriaren eta ilargiaren ipuina"" irakurri dut.","El doctor me contó el resto. Lo que lei fue, ""Historia de la lluvia y el viento"", incluyendo, ""Un juramento entre dos hombres"".","El médico me dijo que descansara y, por lo tanto, he leído ""El cuento de la lluvia y la luna""."
Medikua nitaz kezkatuta zegoen.,El doctor estaba preocupado por mí.,El médico estaba preocupado por mí.
Gajoa. Henske medikua ekarriko diot.,Le traeré al Dr. Henske.,Pobre. Le traeré al doctor Henske.
Henske medikuak ikusten bazaitu lasaiago egongo naiz.,Prefiero que la vea el Dr. Henske.,"Si el doctor Henske te ve, estaré más tranquilo."
Henske medikuarengana noa.,Voy por el Dr. Henske.,Voy al médico Henske.
Zatoz Henske medikua,Aquí está el Dr. Henske.,"Ven, doctora Henske"
Eraman nazazue medikuarengana.,Llevadme a un médico.,Llévenme al médico.
"Gero, medikuarengana.","Luego, al médico.","Luego, al médico."
"Medikuarengana, gero.","Al médico, luego.","Al médico, luego."
Medikuarenera joan beharko zenuke.,Deberías ver un doctor.,Deberías ir al médico.
Medikuak esan zigun.,Nos lo dijo el doctor.,El médico nos dijo.
"Baina harreman fisiko bakarra, azterketa medikua duenean izaten da.",Pero sólo tienen contacto físico durante el examen médico mensual.,Pero el único contacto físico es cuando tiene un reconocimiento médico.
Kevorkian medikuari deitu.,Llama al Dr. Muerte.,Llama al doctor Kevorkian.
Medikua naiz.,"Willy, soy el doctor.",Soy médico.
Arren zoaz medikuarengana.,"Por favor, ve al médico.","Por favor, ve al médico."
Medikuarenean izan al zara?,¿Has ido al médico?,¿Has estado en el médico?
"Eta medikuak esaten dio: ""Ba ez egin.""","El doctor le contesta: ""No lo haga"".","Y el médico le dice: ""Pues no lo hagas."""
Ongi Medikuak sexu gehiago izan du aztertzen nik 6 hilabetetan baino.,¡El médico tuvo mejor sexo examinándola que yo en seis meses!,El buen doctor ha estado examinando más sexo que yo en 6 meses.
"""Irakasleak, medikuak, abokatuak hori baino gehiago gasta dezakeen jendea.",Es verdad.,"Profesores, médicos, abogados, gente que puede gastar más que eso."
"""Irakasleak, medikuak, abokatuak hori baino gehiago gasta dezakeen jendea. Gogoetan egon nintzen:",Ya no creo mucho en nada.,"Maestros, médicos, abogados, gente que puede gastar más que eso. Estaba pensando:"
"Ez naiz medikua, ospitaleko administratzailea naiz bakarrik.","No soy médico, sólo el administrador del hospital.","No soy médico, solo soy administrador del hospital."
Medikua ikustera joango naiz gero. Atzera!,Veré a mi doctor. ¡Atrás!,Iré a ver al médico más tarde. ¡Atrás!
"- Hori medikuak ikus dezala, eta etxera joan.","- Ve al médico, vete a casa.",Que lo vea el médico y vete a casa.
- Medikua ordaindu beharko didazu.,- ¡Debe pagar nuestros gastos médicos!,Tendrás que pagarme al médico.
Medikua edo abokatua izateko aurrezten ari nintzen... ..baina munduko bakeak lehentasuna zeukan.,Estaba ahorrando para estudiar medicina o abogacía... pero se trataba de la paz mundial.,Estaba ahorrando para ser médico o abogado... pero la paz mundial tenía prioridad.
"Bai, iraniar kurdoa naiz, eta medikua.","Sí, soy kurdo iraní y médico.","Sí, soy kurdo iraní, y médico."
Medikuaren bila noa.,Voy a buscar al médico.,Voy a buscar al médico.
Kapsula medikua lortu oraintxe bertan.,Trae una cápsula médica inmediatamente.,Consigue la cápsula médica ahora mismo.
Diana Stanton medikuak izena aldatu zuen eta berria Delia Surride da.,La Dra. Diana Stanton se cambió el nombre a Delia Surridge.,La doctora Diana Stanton cambió su nombre y el nuevo es Delia Surride.
Medikuak ekar itzazue.,Traigan los médicos.,Traigan a los médicos.
Ez duzu nahi medikuak mandibula ikustea?,¡Ha de mirarse la mandíbula el médico!,¿No quieres que el médico te vea la mandíbula?
Medikuarengana joan behar genuke.,"Sí, ¿sabes qué? Tal vez deberíamos ir a un médico.",Deberíamos ir al médico.
Jonas Salk medikuak denbora guztia eman zuen tximinoen giltzurrunak urtzen polioa sendatuko zuen botika bat bilatzen.,Y el salario decente que ganaba como médico y profesor investigador alcanzaba para que viviera una vida cómoda. ¿Quién posee la patente de esta vacuna?,El doctor Jonas Salk dedicó todo el tiempo a disolver los riñones de los monos en busca de un medicamento que curara la polio.
"Ondo pentsatuta, erabaki zuten, ez zegoela ondo aurretik abisatu barik inor kaleratzea, oporraldi eta indemnizazioen ordainketak ukatzea, eta arreta medikuak kentzea.","No abandonen su hogar. ¿Porque saben qué? Cuando esas empresas dicen que tienen su hipoteca a menos que tengan un abogado que pueda poner su dedo en esa hipoteca, no la tienen y Uds. descubrirán que no pueden hallar el documento en Wall Street.","Tras pensarlo bien, decidieron que no estaba bien despedir a nadie sin avisar previamente, negar los pagos de vacaciones e indemnizaciones, y quitar la atención médica."
berrogeita hamar shock gehiagok ere ezerezean gurutzerantz eginiko erromesalditik zure arima gorputzera inoiz itzularaziko ez duten lekuan zurekin nago Rocklanden zure medikuak ergel zorotzat jo eta iraultza hebrear-sozialistaren azpijokoa,Donde cincuenta shocks más no te devolverán nunca... tu alma a su cuerpo... desde su peregrinaje a una cruz en el vacío. Estoy contigo en Rockland Donde acusas a tus doctores de locura... y planeas la revolución socialista Hebrea... contra el Gólgota nacional fascista,"Estoy contigo en Rockland, en el lugar donde ni cincuenta shocks más harán volver tu alma al cuerpo desde la peregrinación hecha en vano hacia la cruz, donde tu médico te ha considerado un tonto loco y la conspiración de la revolución hebreo-socialista."
zure medikuak ergel zorotzat jo eta iraultza hebrear-sozialistaren azpijokoa hausnartzen duzun lekuan Golgota nazional-faszistaren aurka zurekin nago Rocklanden,Donde acusas a tus doctores de locura... y planeas la revolución hebrea socialista... contra el Gólgota nacional fascista.,"En el lugar donde tu médico te considera un idiota loco y reflexionas sobre la conspiración hebreo-socialista, estoy contigo en Rockland contra el Gólgota nacional-fascista."
