Basque (eu),Spanish (es),es_traduction
Juan Carlos Martín Psikologoa da eta hurrengo arloetan egiten du [...],Juan Carlos Martín es Psicólogo y trabaja en los siguientes [...],"La frase original es en euskera, y no en español. Si se traduce del euskera al español, sería:

Juan Carlos Martín es psicólogo y trabaja en los siguientes ámbitos."
"Kontsumoko psikologoek diotenez, saltoki handietan egiten diren erosketen %40 baino gehiago jokabide inpultsibo batek eraginda dira.","Dicen los expertos, los psicólogos de consumo, que más del 40% de las compras, más de la mitad de las cosas que se compran en un gran almacén corresponden a un acto impulsivo.",Erreur
"""Txileko psikologoak"" kategoriako artikuluak Kategoria honek orri bakarra du.",Páginas en la categoría «Psicólogos de Chile» Esta categoría incluye las siguientes 14 Categorías:,Erreur
Arduradunak: Iker Arrizabalaga eta Marisa Román psikologoak.,"Imparten: Iker Arrizabalaga y Marisa Román, psicólogos de Agifes.",Erreur
Psikologoen Elkargo Ofizialaren Estatuko Deontologi Batzordeak honako helburu hauek dauzka:,I. Comisión Deontológica Estatal (C.D.E.) del Colegio Oficial de Psicólogos tendrá los siguientes fines:,Erreur
"Askotan entzun dugu ""ez nago zoratuta, ez dut psikologo bat behar"", baina ezin gara okerrago egon.","Muchas veces hemos oído ""yo no estoy loco, no necesito un psicólogo"", pero no se puede estar más equivocado.",Erreur
"Ikusleak, pelikularen ondoren, Carmen Clemente psikologoak gidatutako solasaldian parte hartzeko aukera izango du.","El espectador podrá disfrutar de las películas y del coloquio posterior a la proyección, conducido por la psicóloga Carmen Clemente, de forma gratuita.",Erreur
"Arte proiektu hau Peter Kruse psikologo alemaniarraren ikerketetatik abiatzen da, hiperkonektatutako generazio berrien inguruan errealitate hibrido baten oinarriak ezarririk, errealitate fisiko eta ziberespazioaren artean kokatzen den kultura berri baten estetika antropologiko/etnologiko bat definitzen duen arte-prozesu bat garatzeko.","CAS Este proyecto artístico parte de los estudios del psicólogo alemán Peter Kruse, quien establece una nueva realidad híbrida de las nuevas generaciones hiperconectadas, para centrarse en el proceso definitorio de una francés Claude Levi-Strauss y su concepto del arte (en unión con la antropología).",Erreur
"Zer egiten dugu: Gure psikologo profesionalen taldeek laguntza emozionala, soziala eta espirituala eskaintzen diete gaixoei eta euren senideei nahiz zainketa aringarrietako profesionalei.","Nuestros equipos profesionales de psicólogos ofrecen al paciente y a las familia apoyo emocional, social, y espiritual, así como soporte a los profesionales de cuidados paliativos.",Erreur
Algora Psikologoak - Psikologia eta Hezkuntza | Psikologoak Donostian.,Psicologos Algora Psicología y Educación | Psicología niños y adolescentes,Erreur
"Eta horrela, arrazoi batzuengatik edo besteengatik, eta barru-barruan zerbaitek laguntza espezializatuaren beharrean gaudela eta etxekoei eta adiskideei gure arazoak kontatzea aski ez dela esaten digun arren, larregi atzeratzen dugu psikologoarenean hitzordua hartzea eta gehiago ezin dugunean eta sufrimendu eta ezegonkortasun psikologikoaren sintomak amesgaizto bihurtzen direnean joaten gara.","Y así, por unas u otras causas, y a pesar de que algo en nuestro interior nos revela que necesitamos ayuda especializada y que contar nuestras penas a familiares o amigos no es suficiente, nos demoramos demasiado en solicitar una cita con el psicólogo y lo hacemos cuando ya no podemos más y los síntomas de sufrimiento, de inestabilidad psicológica, han devenido en pesadilla.",Erreur
"Autorea: Ana Alcántara Chavez, Manuela Ramos Mugimenduko psikologoa.","Autora: Ana Alcántara Chavez, psicóloga del Movimiento Manuela Ramos (Perú)",Erreur
"2014tik, psikologo-lanak egiten ditut Edirenen.",Desde 2014 trabajo como psicóloga en Ediren.,Erreur
"Claudia Llanos (Master Hatha Yogako Irakaslea. Nazioarteko Yoga ikastetxean prestatuta) eta Itziar Caballero (Psikologoa, haurren psikologian espezializatua.","Será impartido por Claudia Llanos (Profesora Master de Hatha Yoga, titulada en la Escuela Internacional de Yoga) y porItziar Caballero (Licenciada en Psicología, Especialista en psicología infantil.",Erreur
"Zenbaitetan, horrelako pazienteen gurpil zoroa haustea arras zaila denez, psikologo edo psikiatra baten laguntza baliagarria edo, areago, ezinbestekoa izaten da.",La dificultad que supone cerrar este círculo para este tipo de enfermos es tan difícil que el apoyo de un psicólogo o psiquiatra puede resultar muy útil.,Erreur
"Yolanda iglesias Agifeseko psikologoak; Javi Garda, buruko gaixotasuna duen pertsonak; eta Aitor Ubarretxena elkarteko sentsibilizazio batzordeko kideak gonbidatu gisa parte hartu zuten SER irratiko Hoy por Hoy San Sebastián saioan (2012-04-24). Agifesen sentsibilizazio kanpaina berriaz, 'Baikor pentsatu nahi duzu?' eta buruko osasunaz hitz egiten zuten. Aurrekoa","Yolanda Iglesias, psicóloga de Agifes; Javi Garda, afectado por una enfermedad mental; y Aitor Ubarretxena, miembro de la comisión de sensibilización de Agifes, asistieron como invitados al programa Hoy por Hoy de Radio San Sebastián (24/04/2012) para hablar sobre la nueva campaña de sensibilización de la asociación '¿Te apuntas al pensamiento positivo?' y sobre salud mental. Anterior 1 -",Erreur
"2016tik naiz Edireneko bazkide langilea, eta psikologo lan egiten dut, gazteak artatzen eta gizarte- eta hezkuntza-programetako taldeak koordinatzen.","Desde 2016 soy socio trabajador de Ediren, donde trabajo como psicólogo atendiendo a jóvenes y coordinando grupos de programas socioeducativos.",Erreur
Osasun Mentalean gutxienez 20 urteko esperientzia duten Psikologo eta Psikiatrak Gure erakundeko profesional taldea profil anitzeko profesionalez osatua dago. Guztiek daukate 20 urte inguruko esperientzia psikologia klinikoan.,"Profesionales de la Psicología y la Psiquiatría con un mínimo de 20 años de experiencia en Salud Mental Con más de 20 años de experiencia, el equipo de profesionales de nuestra entidad está formado por expertos con perfiles muy variados y con una amplia formación y experiencia en la psicología clínica.",Erreur
"Jardunaldian, Agintzariren partehartzea gauzatuko da Javier Mugica, adopzioan aditua den psikologoaren bitartez, zeina azkenengo hilabeteetan, Alberto Rodriguezekin batera, gida berri honen diseinuan eta idazketan kolaboratu duen.","En la Jornada participará Agintzari representada en la persona de Javier Mugica, psicólogo especialista en adopción, que desde hace varios meses, junto a Alberto Rodriguez, han colaborado en el diseño y la redacción de dicha nueva guía.",Erreur
"Marta Arasanz, sexologian espezializaturiko psikologoa (148 Kb)","Marta Arasanz, psicóloga especialista en sexoloxía (148 Kb)",Erreur
"Gure lankide Alberto Rodríguez eta Javier Mugika, familia harreran eta adopzioan adituak diren psikologoek, Nazioarteko Gizarte Zerbitzuarekin (ISS) kolaboratu dute adopzioaren esparruan…","Nuestros compañeros Alberto Rodríguez y Javier Múgica, psicólogos especialistas en acogimiento familiar y adopción, han colaborado con el Servicio Social Internacional (ISS)…",Erreur
"Orain arte indarrean egondako legea -14/2012, transexualak genero-identitateagatik ez baztertzeari eta haien eskubideak aitortzeari buruzkoa- aintzindaria izan zen bere garaian, baina gaur aldatzea “premiazkoa” da, bereziki, izaera patologizatzailea dela-eta; legeak medikuaren edo psikologoaren txostena eskatzen zuen pertsona horien sexu-identitatea egiaztatzeko.","La Ley en vigor hasta ahora -14/2012 de no discriminación por motivos de identidad de género y de reconocimiento de los derechos de las personas transexuales- fue en su momento pionera, pero hoy su cambio se hace “urgente”, en especial por su carácter patologizante; esta ley exigía un informe médico o psicológico para acreditar la identidad sexual de estas personas.",Erreur
Helduentzako psikologoa · Haurrentzako psikologoa,Psicólogo de adultos · Psicólogo infantil,Erreur
Psikologoa “Café para Madres” Ekimenaren koordinatzailea.,Psicóloga y coordinadora del Café para Madres.,Erreur
"Programa Bizkaia Talenten lidergopean dago, eta honako erakunde hauen babesa dauka: Bilbao Metrópoli-30, EHUko Zientzia eta Teknologia Fakultatea, Deustuko Unibertsitateko zein EHUko Zuzenbide Fakultatea, Deustuko Unibertsitateko Deusto Business School, EHUko Ingeniaritzako Goi Eskola Teknikoa, Deustuko Unibertsitateko Ingeniaritzako Goi Eskola (ESIDE), Mondragon Unibertsitateko Goi Eskola Politeknikoa, MUko Enpresa Fakultatea eta EHUko Ekonomia eta Enpresa Fakultatea, baita bederatzi elkargo profesionalena ere: Ekonomialarien Elkargoa; Euskadiko Kimikari eta Ingeniarien Elkargoa; Euskadiko Bide, Ubide eta Portuetako Ingeniarien Elkargoa; eta Euskadiko abokatuen, industriako ingeniarien, geologoen eta psikologoen elkargoak.","Este Programa está liderado por Bizkaia Talent y coordinado junto con Bilbao Metrópoli-30 además de Unibertsitatea, la Facultad de Empresariales de MU, la Facultad de Economía y empresa de la UPV/EHU y nueve colegios profesionales: el de Economistas; Químicos e Ingenieros Químicos del País Vasco; Ingenieros de Caminos, Canales y Puertos del País Vasco, Abogados, Ingenieros Industriales, Geólogos y Psicólogos de Euskadi.",Erreur
"Haurrak atenditzen dituen taldea hauek osatzen dute: koloproktologia pediatrikoari dedikazio berezia eskaintzen dioten kirurgialari pediatrikoak, ostomizatutako haurren maneiuan esperientzia handia duten erizainak, eta psikologo kliniko bat.","El equipo que atenderá a los niños está compuesto por cirujanos pediátricos con especial dedicación a la patología colorrectal, enfermeras con experiencia en el manejo del niño ostomizado y psicóloga clínica.",Erreur
"Tailer hau Olga Ruiz Valencianok ematen du, psikologo espezializatua psikologia klinikoan, 20 urteko esperientzia profesionala du eta bi-1794 kolegiatua da.","Taller de coraje y miedo escénico, impartido por Olga Ruíz Valenciano, psicóloga especializada en psicología clínica con 20 años de experiencia profesional, colegiada bi-1794.",Erreur
1971n Stanford Unibertsitateko Philip Zimbardo psikologoak zuzendutako ikertzaile talde batek burutu zuen.,Fue llevado a cabo en 1971 por un equipo de investigadores liderado por Philip Zimbardo de la Universidad de Stanford.,Erreur
"Hizlaria: Gotzon Minguez Ojembarrena, psikologo klinikoa eta drogekiko menpekotasunean aditua","Ponente: Gotzon Minguez Ojembarrena, psicólogo experto en Psicología Clínica y Drogodependencias",Erreur
Algora Psikologoak Donostian,Algora Psicólogos en Donostia,Erreur
"Psikiatrak (5), psikologo klinikoak (3), erizaintzako diplomadunak (14) eta erizaintzako laguntzaileak (15) dituzte, eta gizarte-langileak eta terapeuta okupazionalak helduen sarearekin partekatzen dituzte.","Cuentan con psiquiatras (5), psicólogos/as clínicos/as (3), diplomados/as en enfermería (14), auxiliares de enfermería (15) y comparten los trabajadores sociales y los terapeutas ocupacionales con la red de adultos.",Erreur
Psikologoen Kode Deontologikoa.,Código Deontológico de los Psicólogos.,Erreur
Zergatik utzi dituzte eskolak bertan behera adingabeak ez badira arrisku-taldea? Arabako Psikologoen Elkargo Ofizialak zenbait jarraibide zabaldu ditu familiei laguntzeko seme-alaba adingabeekin koronabirusa kutsatzeko arriskuagatik duten beldurra eta antsietatea kudeatzeko.,"El Colegio Oficial de Psicólogos de Álava ha difundido una serie de pautas para ayudar a las familias a gestionar con sus hijos menores el miedo y la ansiedad por el riesgo decontagio de coronavirus, ante el avance de la COVID-19.",Erreur
"Espezialistaren iritziz, argaltzeko prozesua eraginkorra eta iraunkorra izan dadin, lehenik egoeraz jabetu behar da, eta hura aldatzeko prestatu, James Prochasaska psikologoak aldaketaren ereduan proposatzen duen bezala.","En opinión del especialista, para que el adelgazamiento sea eficaz y duradero, primero es necesario tomar conciencia de la situación y prepararse para modificarla, tal como propone el psicólogo James Prochaska en su modelo del cambio.",Erreur
"Psikologo kliniko batengana joan, ebaluatu dezan.",Acudir a un psicólogo clínico para que realice una evaluación.,Erreur
"Antropologo sozial, psikologo, magistratuak eta filosofoek bere ondorioetaz hausnartzera jarri behar dira. Horrela agertu ziren hurrengo eztabaidak:","Los antropólogos sociales, los psicólogos, los psicoanalistas, los sociólogos, los médicos psiquiatras, cirujanos y endocrinólogos, juristas, magistrados y filósofos han tenido que ponerse a reflexionar sobre sus consecuencias.",Erreur
"Elbarritasunek dituzten eguneroko zailtasunak Martxoaren 25tean GIELMARek hitzaldi bat antolatuko du Donostiako Okendo kultur etxean arratsaldeko zazpi t'erdietan, hitzaldi hau Kathleen Phillips Lopez psikologoak zuzenduko du eta bertan GIELMAReko pertsona batzuk beraien histori pertsonalak kontatuko dizkigute nola beraiek eguneroko oztopoei aurre egin behar dieten.","discapacidad El 25 de marzo GIELMAR va a organizar una charla en la Casa de Cultura Okendo a las 19:30h, dicha charla será dirigida por la psicóloga Kathleen Phillips López y algunas personas de GIELMAR nos hablarán de sus experiencias personales en común a enfrentarse a sus dificultades cotidianas.",Erreur
"Komunikazioa bultzatzeko proiektua: Komunikazioa ikasleen behar eta eskubide bat dela eta pertsona guztiak komunikatzen garela kontutan hartuta, eskolan 2 logopedaz, psikologo eta pt batez osaturiko talde bat dago tutoreei ondorengo helburuak lortzen lagunduko diona:","Partiendo del principio de que todas las personas se comunican y, considerando la comunicación como un derecho y una necesidad de los alumn@s, el centro cuenta con un grupo de apoyo a la comunicación formado por dos logopedas, un psicólogo y un PT que pretende apoyar a los tutores/as con el fin de dar pasos para conseguir los siguientes objetivos:",Erreur
"Honela hasi zuen bere hitzaldia Marta Lacabex psikologoak, jarraibideak ematen eta Mindfulness arrakastatsuaren onurak azaltzen. Tailer hau Areetako...Irakurri gehiago+",Así ha comenzado su charla la psicóloga Marta Lacabex que ha dado ciertas pautas...leer más+,Erreur
Psikologoek kudeatutako Gurasoen eskola gure seme-alabekin harreman ona edukitzen eta hezitzaile gisa ditugun betebeharrak hobeto ulertzen laguntzeko dago zuzendua.,"Gestionada por psicólogos, la Escuela de padres y madres está orientada a ayudar a construir una buena relación con nuestros hijos y a entender nuestro nuevo papel de educadores.",Erreur
"“Elkarteko kideen artean egindako inkesta baten emaitzak oinarri hartuta, gure jarduera eta dinamikak partaideei interesgarri zaizkien gaietara eramaten ditugu” adierazi du psikologoak.","“En base a los resultados de una encuesta que hemos realizado entre los miembros de la asociación, acercaremos nuestras actividades y dinámicas a los temas que más interesan a los participantes”, declara la psicóloga.",Erreur
"Gaur egun, jadanik nagusia da eta psikologoak bizi izan duen guztia berreraikitzen lagundu dio, daukan zauria pixkanaka sendatzeko. Orain, indartsuago sentitzen da nahiz eta ezin ahaztu….","Ahora ella es mayor y dice que el psicólogo le ha ayudado a ir reconstruyendo todo aquello que vivió, que de alguna manera, va curando esa herida que tiene, y hoy, se siente mucho más fuerte aunque no puede olvidar…",Erreur
"Elkarrizketa horiek eginda, eta azterketa kognitiboaren inguruko proba batzuk egin ondoren, psikologoak ikusi du Martak ez duela inolako arazorik testuak ulertzeko edo zereginak egiteko estrategien inguruan.","Como conclusión de estas entrevistas y tras realizar algunas pruebas de análisis cognitivo, la psicóloga constata que Marta no presenta ningún problema relacionado con la comprensión de textos o con el desarrollo de estrategias para la realización de tareas.",Erreur
Laguntza Kategoria:Txileko psikologoak,Ayuda Categoría:Psicólogos de Chile,Erreur
"Mapi Urrezti psikologo, sexologo eta psikomotrizistak, emozioak berdintasun ikuspegitik lantzeko psikomotrizidadeak ematen dituen aukerez hitz egin du; eta Andrea Momotio San Martin kazetariak eskoletan komunikabideen erabileraz hitz egin du hezkidetza ikuspuntutik.","La Psicóloga, sexóloga y psicomotricista relacional Mapi Urrezti ha hablado sobre la psicomotricidad para trabajar las emociones y las relaciones desde la perspectiva de la igualdad; por su parte, la aperiodista Andrea Momoitio San Martín, ha hablado del uso coeducativo de los medios de comunicación en los centros escolares.",Erreur
"Emakumeen Osasunaren aldeko Ekintzaren Nazioarteko Eguna 1987tik ospatzen da, gogorarazteko osasunerako eskubidea giza eskubide bat dela, eta emakumeek inolako murrizketarik edo bazterketarik gabe eskuratu behar dutela. Bertan, Osasunaren eta Aldaketa Demografikoaren Baldintzatzaile Sozialak Ikertzeko Taldeko (OPIK) Amaia Bacigalupe De la Herak parte hartuko du, zeinak osasunaren mugatzaile sozialei eta pandemia garaiko genero-desberdintasunei buruzko ikuspegian sakonduko duen; berarekin batera, María del Mar García Calventek, Osasun Publikoko Andaluziako Eskolako irakasleak, zaintzan eta osasunean adituak; eta Marga Sáenz Herrero psikologoak, generoak osasun mentalean dituen inpaktuetan sakonduko duenak.","El Día Internacional de Acción por la Salud de las MujeresDía Internacional de Acción por la Salud de las Mujeres es una conmemoración que se celebra desde 1987 para recordar que el derecho a la salud es un derecho humano al que las mujeres Demográfico-OPIK, quien va a profundizar en la visión sobre los determinantes sociales de la salud y desigualdades de género en tiempos de pandemia; María del Mar García Calvente, docente en la Escuela Andaluza de Salud Pública, experta en cuidados y salud; y Marga Sáenz Herrero, psiquiatra, profesora asociada de la UPV y trabajadora de Osakidetza que incidirá en los impactos de género en la salud mental de las mujeres.",Erreur
"Talde honen sorrera, Biescas-eko kanpalekuan gertatutako hondamendi naturalarekin lotura handia dauka, non psikologo asko mobilizatu ziren biktimei haien sustengu eta elkartasuna emateko.","El grupo se creó, muy directamente relacionado con la catástrofe natural del camping de Biescas, en el cual much@s psicólog@s se movilizaron para dar una respuesta de apoyo y solidaridad con las víctimas.",Erreur
"Rafael Santandreu, Psikologoa eta 'El arte de no amargarse la vida' liburuaren egilea","Rafael Santandreu, Psicólogo y autor de 'El arte de no amargarse la vida'",Erreur
"Hor ere eskaintzen dituzte psikoterapia saioak, psikologoek gidatuta, baldin eta psikiatra batek esaten badu gaixoak horren beharra daukala.","Las sesiones de psicoterapia dirigidas por psicólogos son un servicio más, siempre que las prescriba un psiquiatra.",Erreur
"Psikologoa, prestatzailea eta erakunde-garapeneko aholkulari aditua.","Psicóloga, formadora y consultora experta en Desarrollo Organizacional.",Erreur
Bertan Patxi de la Fuentek –zuzenbidean lizentziatua eta aktibista soziala– eta Nancy Juape Chamayak –psikologoa eta Munduko Emakumeak-Mujeres del Mundo elkarteko kidea– etorkinek egunero gainditu behar izaten dituzten muga ezberdinen inguruan mintzatu dira.,En el mismo han participado Patxi de la Fuente –licenciado en derecho y activista social– y Nancy Juape Chamaya –psicóloga y miembro de la organización Munduko Emakumeak-Mujeres del Mundo–; ambos han hablado sobre las diferentes fronteras que tienen que superar todos los días las personas migrantes.,Erreur
"60 artikulu zientifiko baino gehiago argitaratu eta Naukas eta Desgranando Ciencia zientzia-dibulgaziorako plataformekin lan egiten du. Patri Tezanos neurozientzian espezializatutako psikologoa eta Youtubeko “Antroporama” kanaleko zientzia-dibulgatzailea da. Dibulgazioarekin uztartzen du neurozientziaren arloko ikerketa, Madrilgo CSICen Cajal Institutuan.",Ha publicado más de 60 artículos científicos y colabora con las plataformas de divulgación actividad de divulgación con la investigación en el campo de la neurociencia en el Instituto Cajal del CSIC en Madrid.,Erreur
"Jardunaldiaren bigarren zatian, Naiara Mimentza neuropsikologoak, kalte zerebralaren ondoko asaldura psikopatologikoak ongi ezagutzen dituelarik, neuropsikologiak horrelako pazienteak ulertzeko egin duen ekarpena aztertu zuen.","En la segunda parte de la Jornada, la neuropsicóloga Naiara Mimentza, buena conocedora de las alteraciones psicopatológicas tras el daño cerebral, analizó la contribución de la neuropsicología a la comprensión de este grupo de pacientes.",Erreur
Adimen anitzen teoria Howard Gardner psikologo estatubatuarrak asmatu zuen adimen bakarraren ideiatik urrunduz.,La Teoría de las Inteligencias Múltiples fue ideada por el psicólogo estadounidense Howard Gardner alejándose de la idea de una inteligencia única.,Erreur
"Gainera, alde batetik, psikologoek sarritan alde egin behar izaten dute elkarrizketetatik; izan ere, aztertutako beste hainbat kasuren bistetara jo behar izaten dute, eta horrek gogotik oztopatzen du elkarrizketak eta behaketak jarraitzea.","Además, en muchas ocasiones, los psicólogos tienen que ausentarse de las entrevistas, porque deben acudir a las vistas que se están desarrollando en relación a otros casos que han peritado y eso dificulta enormemente el seguimiento de las conversaciones y la observación.",Erreur
