Basque (eu),Spanish (es),es_traduction
"Danny, nor zen Rebeccaren medikua?",¿Quién era el médico de Rebecca?,Erreur
Baina Londresen zuen medikua nor zen?,Pero sabes que me refiero al médico de Rebecca en Londres.,Erreur
Deitu diozue medikuari?,¿Han llamado al médico?,Erreur
- Nik medikuari ordaindu behar diot.,- Yo tengo que pagar al médico.,Erreur
- Medikuak dio hotza hartu duela.,- El médico dice que es un resfriado.,Erreur
- Medikuak?,- ¿El médico?,Erreur
Medikuak esan du ondo egongo dela Natibitate eguneko bazkarirako.,El médico dijo que estará bien para la comida de Navidad.,Erreur
- Bere aholkulari medikua nintzen.,- Yo era su médico.,Erreur
FILMEAN AZALDUTAKO GERTAKARI MEDIKUAK EGIAZKOAK DIRA.,"LOS HECHOS médicos EXPUESTOS EN LA PELÍCULA SON verídicos. ""TOXlNA luminosa"" ES EL término descriptivo",Erreur
- Medikuak gomendatu zuen.,- Lo sugirió el médico.,Erreur
Madamen medikuak.,El médico de madam.,Erreur
Medikua da hemen.,El médico está aquí.,Erreur
Medikuak ahaleginik ez egiteko esan dizu.,Recuerda que el médico te prohibió cualquier esfuerzo.,Erreur
Ez plazaratu medikuaren txostena 24 ordu barru arte.,Retenga el parte médico durante 24 horas.,Erreur
Medikuak eman zidan.,Me lo dio el doctor.,Erreur
Medikuak uste du hotzeria psikologiko bat izan daitekeela.,El doctor piensa que posiblemente la causa de mi resfrío sea la psicología.,Erreur
Bereziki gogorra da medikua bazara... eta zuk jakin dakizu txarto dagoela.,Es particularmente duro cuando usted es médico.... Y usted sabe qué estaba mal con él.,Erreur
"Entzun, landa medikua naiz, baina zenbait gauza badakizkit.","Escucha, soy sólo un médico rural, pero algunas cosas sé.",Erreur
Edo salatu dezadan nahi duzu herriko medikua asaldatzearren?,¿O quieres que le levante cargos por perturbar al doctor del pueblo?,Erreur
...uxe da medikua izatearen eragozpenetako bat.,Ésa es una de las desgracias de ser médico.,Erreur
"Esan nion joateko medikuarenera, baina ez du egingo ezer...","Le pedí que viera a un médico, pero no hará nada...",Erreur
Bihar medikuarengana joango gara.,Mañana iremos a ver al médico.,Erreur
"Medikua naizenez, zinez diotsut oker zaudela.","Como médico, puedo asegurarle que se equivoca.",Erreur
"Erantzuidazu, Rosalie. Medikuak dio urduri dagoela.",El médico dice que está inquieto.,Erreur
Poliziako medikuak zabarrak dira.,"Ya conoces a los médicos de la policía, no tienen estilo.",Erreur
Medikuak esan zidan beste kolpe emozional batek senda dezakeela. Eta hori ere ez da ziurra.,"Le pregunté al médico y me dijo que sólo otro impacto emocional te la quitaría, y tampoco es seguro.",Erreur
"Psikiatrarengana eramateko esango nizuke, neurologo batengana, are kabezerako medikuarengana.","Te diría que la llevases al psiquiatra, al psicólogo, al neurólogo más cercano, o incluso al médico de cabecera.",Erreur
Jakin behar dut nora doan eta zer egiten duen medikuarengana joan aurretik.,"Tengo que saber adónde va y qué hace, antes de acudir a un médico.",Erreur
Medikuak dio gaizki dagoela.,El doctor dice que se encuentra mal.,Erreur
"Lasaiago dago orain, medikua dela medio.",Está más tranquila ahora que la vio un médico.,Erreur
"Medikuak esan du, ezta, Jeanne?",Te levantarás en unos días. Lo dijo el doctor.,Erreur
Medikua da.,Un Doctor.,Erreur
-Nor da bere medikua?,- ¿El doctor que la atiende?,Erreur
Medikuak bukatu du azterketa. Eta zurekin egon nahi du.,"El forense ha teminado su reconocimiento, y quiere hablar con usted.",Erreur
"-Lasai, medikua naiz. -Hara!","-No se preocupe, soy médico.",Erreur
Medikuak eta emakumeak!,Sí. ¡Médicos y mujeres!,Erreur
- Etxeko medikua!,- Personal.,Erreur
Ez. Medikuak esan zidan txarra zela nire termostatoarentzat.,El doctor dijo que era perjudicial para mi termostato.,Erreur
"Medikua naiz, utzi pasatzen.","Soy médico, déjenme pasar.",Erreur
Medikuaren esana zehatz bete eta une oroz zaindu ezazue.,"Sigan las instrucciones de la carta del doctor, y no lo descuiden ni por un momento.",Erreur
Hahi duzu medikuari abisatzea?,¿Quieren que llame a un médico?,Erreur
Uda itsas ertzean lasai pasatzeko medikuak esan dit.,'El médico me ha recomendado un verano tranquilo en la playa,Erreur
"Horrela jarraitzen baduzu, medikuarengana joan beharko duzu.","Si esto sigue así, tendrá que ir al médico. Sí.",Erreur
- Medikuari deituko diot.,- Llamaré al doctor.,Erreur
"Medikuari deituz gero, abisua emango du. Hori da nahi duzuna?","Si llamas a un doctor, la denunciará. ¿Quieres eso?",Erreur
Ez deitu medikuari inolaz ere.,No debes llamar a un doctor bajo ninguna circunstancia.,Erreur
- Medikuari deitu behar izan nion.,Llamé a un doctor. Tuve que hacerlo.,Erreur
Eskualdeko medikuari deitu behar izan zuen.,Debió llamar al médico de la zona.,Erreur
- Non da medikua?,- ¿Dónde está el médico?,Erreur
Erreskate postuetan medikuak dituztela esan du.,El dijo que los puestos de rescate tienen médicos.,Erreur
Gogorarazten dizuet medikua aztia ere badela.,"Les recuerdo que un médico, es también un hechicero.",Erreur
Medikua ongilea da.,El médico es un benefactor.,El médico es útil.
Medikua zara!,¡Es médico!,Eres médico!
Hobe duzu medikuarengana joan.,"Ve al médico, que es lo mejor.",Deberías ir al médico.
Zoaz medikuarengana!,"¡Ve al doctor, ve!",¡Ve al médico!
Zoaz medikuarengana.,Tendrás que ver a un médico.,Ve al médico.
"Medikuak esan zidan neumonia zela geroago hil baitzen, gripe-izurri betean.","El doctor dijo fue neumonía pues sucedió meses después, durante una epidemia.","El médico me dijo que era neumonía, después murió en medio de una pandemia de gripe."
Susmagarriari medikuaren eta abokatuaren laguntza ukatzeko?,¿Negar atención médica y abogado? ¿Dónde ha estado?,¿Debe negarse la asistencia del médico y del abogado al acusado?
"Zerbait sartu nuen lehen aldian... Infekzioa izan nuen, eta kanpamenduko medikuak atera behar izan zidan.","La primera vez que me metí uno... se me infectó tanto, que me lo tuvo que sacar el médico del campamento.","Al principio, cuando algo entró... Tuve una infección y el médico del campamento tuvo que sacármelo."
X izpien medikua preso bat da izatez... Hindua edo horrelako zerbait.,El médico de rayos X es un convicto-- una especie de hindú o algo.,...es básicamente un médico de rayos X... algo así como un hindú o algo así.
Medikua umea zaintzen ari da.,Está recibiendo atención médica.,El médico está cuidando al niño.
Lo gehitxo egiten duela suposatzen dut... baina medikuak dio hori normala dela gertatu zena ikusita.,"Bueno, ella duerme demasiado, supongo, pero el doctor dijo que es normal después de todo esto.",Supongo que está haciendo un buen trabajo... pero el médico dice que eso es normal considerando lo que pasó.
"Batzu abokatuak dira, besteak medikuak.","Un tipo es abogado, otro tipo es doctor.","Algunos son abogados, otros son médicos."
"Gero, medikuak esan bezala, ale bana bidali nien 4 editoreri.","Como me aconsejó el Dr. Bicard, envié ejemplares a cuatro editoriales parisinas.","Luego, como el médico me había dicho, envié un ejemplar a cada uno de los 4 editores."
Medikuak esan dizu ez mugitzeko.,El doctor dice que no debe moverse.,El médico te ha dicho que no te muevas.
Joan dadila medikuarengana etxeratzean. Egia.,- Puede ver a un médico cuando lleguemos.,Vaya al médico cuando vuelva a casa. Es cierto.
"Ziurtatu medikuak agiri bat ematen dizula, aditu?",Asegúrate de ir al médico por un certificado. ¿Me oyes?,¿Te ha proporcionado el médico un certificado?
Medikuak esan dit golf-zorroak astean bitan eramateko.,Mi doctor sugirió que cargara bolsas todas las semanas.,El médico me dijo que debía llevar las gafas de golf dos veces por semana.
Medikuaren zereginak!,Llaman al doctor.,Erreur
"Ez kezkatu honengatik, medikuak errezetatu du eta.",No le haga caso. Lo recetó el doctor.,Erreur
"Hauxe da medikua, bere emaztea...",Este es el doctor y su esposa.,Erreur
"Uste duzu ""beharbada"" eraman beharko genukeela medikuarenera?","¿Crees que ""quizás"" habría que llevarlo al médico?",Erreur
Nire anaia medikua da.,Mi hermano es médico. Una eminencia en su campo.,Erreur
Medikuarekin egon naiz eta dena konponduta dago.,He visto al médico... todo está arreglado.,Erreur
"Berandu itzultzen direnak, txosten medikua ekarrita ere, zigortu eta espetxe itxi batera joango da.","Ningún informe médico será válido. Todo retraso, incluso provisto de un informe, será castigado con el reenvío a la prisión vigilada. Para vuestra información.",Erreur
"Begira, Mehmet; gaixo batek medikuaren laguntza nahi badu zintzo eta argi jokatu behar du berarekin.","- Mira Mehmet, si un enfermo quiere que su médico le sea útil, debe ser honrado y claro con él.",Erreur
"Berandu itzultzen direnak, txosten medikua ekarrita ere, zigortu eta espetxe itxi batera joango da.","Ningún informe médico será válido. Cualquier retraso, incluso provisto de un informe, será castigado con el envío a la prisión vigilada.",Erreur
Medikuak dio haize pixka bat hartu behar duela.,El médico dijo que debe tomar un poco de aire.,Erreur
Gure medikua banan-banan aztertzen ari da.,El médico los está revisando uno por uno.,Erreur
-Medikuarengana joan zara?,lo sé. Me pareció de repente.,Erreur
Medikuak hori esan dit. Eta hortaz?,- ¿Está seguro?,Erreur
Ez. Medikuak esan dit ez dela Maxen errua.,"No, el doctor dice que no era culpa de Max.",Erreur
Uste dut medikuak laster etxera joaten utziko diola.,"Sí, el doctor dijo que pronto podrá salir del hospital.",Erreur
"Amaren medikuak bidali du, ospitaletik.",Contáctese conmigo...,Erreur
Lauraren medikua izan nintzen.,Laura era mi paciente. Van a la morgue.,Erreur
"Leland, zuk egin behar duzuna da medikuaren aginduak jarraitu. Atsedena komeni zaizu. Baina barruko grina hau...",Lo mejor que puedes hacer es seguir las instrucciones del médico.,Erreur
"Baina pentsa, estatuko zergak, udalekoak, ekipamendua, kostu medikuak, mantenua, administrazio-zergak... Tira, ikusten duzu.","Hay impuestos locales y estatales, gastos de equipamiento médicos y de mantenimiento, tasas administrativas y ya veis los resultados.",Erreur
"Zure medikua naiz, Andy.","Yo soy tu médico, Andy.",Erreur
- Eta deitu medikua.,- Y llame a un médico.,Erreur
Deitu duzu medikua?,¿Ha llamado al médico?,Erreur
Medikua?,¿AI médico?,Erreur
Medikua beharko duzu.,Necesitará usted atención médica.,Erreur
"Beraz, hemendik azkar irten nahi baduzu, Bobby-ri zure medikua izaten utzi beharko diozu.",Así que si quieres salir de aquí pronto tendrás que dejar que Bobby sea tu médico.,Erreur
"Zure medikua naizenez, Leland, zer gertatu zaio zure ileari?","Bueno, como médico tuyo, Leland ¿qué diablos le ha ocurrido a tu pelo?",Erreur
Ez zait inporta medikuak zer dioen.,No me importa lo que dice el doctor.,Erreur
Medikuak dio abestu egin behar dizudala.,El doctor dice que debo cantarte.,Erreur
- Medikua da Bob zure laguna?,- ¿Su amigo Bob es doctor?,Erreur
"Aita, medikua, erditzean egon zen.","Mi padre, que es médico, asistió el parto.",Erreur
- Medikua zara?,¿Eres médico?,Erreur
Shellyk Hayward medikuarenera eraman du haren entzumen arazoa aztertzeko.,Shelly Io llevó al doctor Hayward para que revisara su oído.,Erreur
"Noski, medikuaren gastu guztiak ordainduko ditugu.","Por supuesto, pagaremos cualquier gasto médico.",Erreur
"Nire ama hain aztoratua zegoenez, medikuak ez zuen ausardiarik izan tomate kutsatu batek haurdun utzi zuela esateko.",Ante la histeria de mi madre... el doctor no tuvo valor... para decirle que estaba embarazada... de un tomate contaminado.,Erreur
"Medikuak hitzegitean, erantzun.","Cuando te hable la doctora, contesta.",Erreur
Medikua al zara?,¿Eres un médico?,Erreur
"Topalekura zaramatzat, Joek mediku bat bilatuko dizu medikuak sendatuko zaitu eta ondo egongo zara.","Te llevo al lugar del encuentro, Joe te va a buscar un médico... el médico te va a curar y... vas a estar bien.",Erreur
"Medikuak sendatzen ez badu, ziur hilko da.","Sin atención médica, morirá con seguridad.",Erreur
"Deitu larrialdiak, abokatua, medikua, norbaiti!","Llamen a emergencias, una ambulancia, un abogado, un médico, lo que sea!",Erreur
Emakume batek ezin zion egiteari utzi. Medikuarengana doa.,Era una mujer que no paraba de toser y que va a ver al médico.,Erreur
Medikuak aztertu eta pilula ematen dio.,El médico la ausculta y le da una pastilla.,Erreur
Medikua bahitu du!,¡Tomó al doctor de rehén!,Erreur
"Ados; baina zure senarra medikua delako, eta erantzukizuna hartuz papera sinatu didalako.",Sólo porque su esposo es doctor y si él está de acuerdo en asumir toda la responsabilidad.,Erreur
Deituko diot medikuari? Ez.,- ¿Llamo a un médico?,Erreur
Medikuak dio hobeto zaudela eta etxera joan zaitezkeela.,Los médicos dicen que puedes irte a casa.,Erreur
Iritsi da auzitegiko medikua?,¿Ha venido el forense?,Erreur
Medikua!,Medic!,Erreur
Non dago medikua?,¿Puedo conseguir un médico?,Erreur
Medikuak ez dizuete utziko.,Los médicos no los dejarán.,Erreur
Ferrero medikuak barkamena eskatzen du.,El Dr. Ferrero pide que le disculpe.,Erreur
Analisiak egin ditut eta medikuaren agiria dut. Ez dago batere zalantzarik: zure umea edukiko dut.,"Me hice una prueba, tengo los certificados  y no hay duda de que tendré tu bebé.",Erreur
Medikuak berehala ikusi behar du!,Mi amiga está aquí en coma. ¡Tenemos que ver a un médico ya!,Erreur
"- Medikua orain ikus dezakegu, arren?",-¿Podemos ver a un médico ya?,Erreur
Medikua oraintxe bertan behar dugu!,¡Mi amiga se va a morir aquí! ¡Necesitamos a un médico AHORA!,Erreur
"Entzun, medikua ikus behar dut.","Escuche, tengo que ver a un médico.",Erreur
Medikua naiz.,soy médico.,Erreur
"Zu medikua zara, Holloway.",Tú eres médico.,Erreur
Zer motako medikua zara?,¿qué tipo de doctora eres?,Erreur
Nire medikuak dio hilean behin.,Mi doctor dice una vez por mes.,Erreur
Medikuak ohean gelditzeko esan du.,El doctor lo había prohibido.,Erreur
-Ez al duzu medikua ikusi?,-¿No ha visto al doctor?,Erreur
Medikuaren fakturak,¡Las facturas del médico! ¿Tienes médico?,Erreur
Deitu medikuari.,Usted llame al médico.,Erreur
Zer esan dizu medikuak?,¿Qué ha dicho el médico?,Erreur
"Horrek salbatu zuen, gure kanpamenduko medikua 20 minutuko distantziara zegoelako.",Esto le salvó porque nuestro campamento con el médico estaba a una distancia de 20 minutos.,Erreur
"Medikuak atseden hartzeko esan zidan eta, beraz, ""Euriaren eta ilargiaren ipuina"" irakurri dut.","El doctor me contó el resto. Lo que lei fue, ""Historia de la lluvia y el viento"", incluyendo, ""Un juramento entre dos hombres"".",Erreur
Medikua nitaz kezkatuta zegoen.,El doctor estaba preocupado por mí.,Erreur
Gajoa. Henske medikua ekarriko diot.,Le traeré al Dr. Henske.,Erreur
Henske medikuak ikusten bazaitu lasaiago egongo naiz.,Prefiero que la vea el Dr. Henske.,Erreur
Henske medikuarengana noa.,Voy por el Dr. Henske.,Erreur
Zatoz Henske medikua,Aquí está el Dr. Henske.,Erreur
Eraman nazazue medikuarengana.,Llevadme a un médico.,Erreur
"Gero, medikuarengana.","Luego, al médico.",Erreur
"Medikuarengana, gero.","Al médico, luego.",Erreur
Medikuarenera joan beharko zenuke.,Deberías ver un doctor.,Erreur
Medikuak esan zigun.,Nos lo dijo el doctor.,Erreur
"Baina harreman fisiko bakarra, azterketa medikua duenean izaten da.",Pero sólo tienen contacto físico durante el examen médico mensual.,Erreur
Kevorkian medikuari deitu.,Llama al Dr. Muerte.,Erreur
Medikua naiz.,"Willy, soy el doctor.",Erreur
Arren zoaz medikuarengana.,"Por favor, ve al médico.",Erreur
Medikuarenean izan al zara?,¿Has ido al médico?,Erreur
"Eta medikuak esaten dio: ""Ba ez egin.""","El doctor le contesta: ""No lo haga"".",Erreur
Ongi Medikuak sexu gehiago izan du aztertzen nik 6 hilabetetan baino.,¡El médico tuvo mejor sexo examinándola que yo en seis meses!,Erreur
"""Irakasleak, medikuak, abokatuak hori baino gehiago gasta dezakeen jendea.",Es verdad.,Erreur
"""Irakasleak, medikuak, abokatuak hori baino gehiago gasta dezakeen jendea. Gogoetan egon nintzen:",Ya no creo mucho en nada.,Erreur
"Ez naiz medikua, ospitaleko administratzailea naiz bakarrik.","No soy médico, sólo el administrador del hospital.",Erreur
Medikua ikustera joango naiz gero. Atzera!,Veré a mi doctor. ¡Atrás!,Erreur
"- Hori medikuak ikus dezala, eta etxera joan.","- Ve al médico, vete a casa.",Erreur
- Medikua ordaindu beharko didazu.,- ¡Debe pagar nuestros gastos médicos!,Erreur
Medikua edo abokatua izateko aurrezten ari nintzen... ..baina munduko bakeak lehentasuna zeukan.,Estaba ahorrando para estudiar medicina o abogacía... pero se trataba de la paz mundial.,Erreur
"Bai, iraniar kurdoa naiz, eta medikua.","Sí, soy kurdo iraní y médico.",Erreur
Medikuaren bila noa.,Voy a buscar al médico.,Erreur
Kapsula medikua lortu oraintxe bertan.,Trae una cápsula médica inmediatamente.,Erreur
Diana Stanton medikuak izena aldatu zuen eta berria Delia Surride da.,La Dra. Diana Stanton se cambió el nombre a Delia Surridge.,Erreur
Medikuak ekar itzazue.,Traigan los médicos.,Erreur
Ez duzu nahi medikuak mandibula ikustea?,¡Ha de mirarse la mandíbula el médico!,Erreur
Medikuarengana joan behar genuke.,"Sí, ¿sabes qué? Tal vez deberíamos ir a un médico.",Erreur
Jonas Salk medikuak denbora guztia eman zuen tximinoen giltzurrunak urtzen polioa sendatuko zuen botika bat bilatzen.,Y el salario decente que ganaba como médico y profesor investigador alcanzaba para que viviera una vida cómoda. ¿Quién posee la patente de esta vacuna?,Erreur
"Ondo pentsatuta, erabaki zuten, ez zegoela ondo aurretik abisatu barik inor kaleratzea, oporraldi eta indemnizazioen ordainketak ukatzea, eta arreta medikuak kentzea.","No abandonen su hogar. ¿Porque saben qué? Cuando esas empresas dicen que tienen su hipoteca a menos que tengan un abogado que pueda poner su dedo en esa hipoteca, no la tienen y Uds. descubrirán que no pueden hallar el documento en Wall Street.",Erreur
berrogeita hamar shock gehiagok ere ezerezean gurutzerantz eginiko erromesalditik zure arima gorputzera inoiz itzularaziko ez duten lekuan zurekin nago Rocklanden zure medikuak ergel zorotzat jo eta iraultza hebrear-sozialistaren azpijokoa,Donde cincuenta shocks más no te devolverán nunca... tu alma a su cuerpo... desde su peregrinaje a una cruz en el vacío. Estoy contigo en Rockland Donde acusas a tus doctores de locura... y planeas la revolución socialista Hebrea... contra el Gólgota nacional fascista,Erreur
zure medikuak ergel zorotzat jo eta iraultza hebrear-sozialistaren azpijokoa hausnartzen duzun lekuan Golgota nazional-faszistaren aurka zurekin nago Rocklanden,Donde acusas a tus doctores de locura... y planeas la revolución hebrea socialista... contra el Gólgota nacional fascista.,Erreur
Medikuak esan dit kirol pixka bat egiteko.,El doctor me pidió hacer ejercicio.,Erreur
Nire adinean eta lehenengo erditzea izanda medikuak oso erne neuzkan.,"Al ser ya mayor y mi primer embarazo, los médicos estuvieron siempre alerta...",Erreur
Medikuak esan dit ondo nagoela.,Dice que estoy bien.,Erreur
"Medikuak esan bezala, Arta intentsiboetan dago.","Como dice el médico, está en cuidados intensivos.",Erreur
"Medikuak belarriak begiratu zizkidan, ez zen otitis bat.","El médico examinó mis oídos, no era una otitis.",Erreur
-Nire taldeko medikua da. -A bai?,- Es el sanitario en mi grupo.,Erreur
"Horrelako medikuak nahi nituzke, ospitalera joanez gero.","Me gustarían doctoras como esas, si tuviera que ir al hospital.",Erreur
Medikuak ahal duten guztia egiten ari dira.,Los doctores están haciendo todo lo posible.,Erreur
Medikuarenetik etorri berri naiz berri zoragarriekin.,Estoy segura que acabo de volver del doctor con noticias que me cambiarán la vida.,Erreur
Hau da Berlingo medikuaren telefonoa.,"Este es el número de un Dr. Aquí en Berlín,",Erreur
Ezin duzu eraman medikuak baimendu gabe.,"No puede llevarlo hasta, que no reciba confirmación.",Erreur
Medikuak esan dit berehala elkartuko naizela biktima haiekin.,"Mis doctores me aseguraron que pronto, Me uniría a la lista de víctimas.",Erreur
"Bai, baina, zer esan du medikuak?","Sí, pero ¿Qué dijo el doctor?",Erreur
epaitegia medikuaren eritziaren menpe dago.,Porque el tribunal escucha al doctor.,Erreur
"Bai, eta epaitegia dio beraiek medikuari entzuten diotela.","Si, y el tribunal dijo que ellos escuchan al doctor, al doctor.",Erreur
Nire medikua.,"Es mi doctor, Cliff.",Erreur
Zer aholku eman zion medikuak?,¿Qué le recomendaron hacer al respecto?,Erreur
Ingalaterrako medikuak hanka moztu beharko ziola esan zion.,El médico en Inglaterra le dijo que tenía que cortarle toda la pierna.,Erreur
Bobek minbizia zuela esan zigun medikuak Alan eta bioi eta zabaldurik zuela.,El médico nos dijo a Allan y a mí que Bob Marley tenía cáncer y se había extendido.,Erreur
Ezin genuela ezer egin eta birarekin jarraitzen uzteko esan zigun medikuak. Oso sendoa zela eta egunen batean agertokira atera eta bertan hilko zela esan zigun.,"Pero el médico nos dijo que no debíamos hacer nada, que debíamos dejarlo continuar la gira de conciertos, que era tan fuerte y poderoso que un día iba a salir al escenario e iba a caer muerto.",Erreur
"Bobengatik ezin zuela gehiagorik egin esan zigun medikuak, eta alde nahi bagenuen, hurrengo 48 orduen buruan egin beharko genuela.","El médico dijo que no podía hacer más por Bob, y que si íbamos a irnos, debíamos hacerlo en cuestión de 48 horas.",Erreur
Zure medikua poztuko da.,A tu doctor le agradará.,Erreur
Medikuarekin hitz egin dut.,Hablé con el doctor.,Erreur
Zurekin argudiatzeko eskatu nahi genion Kurt Blumenfeldi baina hilzorian dagoela esan digu bere medikuak.,"Queríamos pedirle a Kurt Blumenfeld que razonara con usted, pero su doctor dijo que está muriendo.",Erreur
-Medikua naiz.,- Bien.,Erreur
Ur gazietako hondartza batean ibiltzen ebaki bat egiten baduzu berehala joan behar duzu medikuarengana.,"Cuando uno camina por agua salobre o en la playa si se cortan, no crean que sanará fácilmente. Deben buscar atención médica inmediata si comenzara a enrojecer o si se sintieran mal.",Erreur
"Jack Abrams naiz, Marylandeko Atlantic ospitaleko medikua.",Soy el Dr. Jack Abrams. Soy médico en el hospital Atlántico de Maryland.,Erreur
Medikuarengana joan naiz.,¿Te he dicho que estoy yendo al médico?,Erreur
- Gure medikuak dauzkagu.,- Tenemos nuestros doctores.,Erreur
"Medikua ikusi nahi baduzu, arauak errespetatu itzazu.",Si quiere ver al médico tiene que respetar las normas. Lo siento.,Erreur
TomMelby medikua naiz. Erietxea kudeatzen dut.,"Soy el Dr. Melby, dirijo el consultorio.",Erreur
Eta gero medikua zetorrela esaten nion... eta beharbada haurdun nengoela.,Y entonces decía que había ido al médico y que estaba... que tal vez estaba embarazada.,Erreur
-Medikuari deituko al diot?,¿Tengo que llamar a un doctor?,Erreur
"Baieztatu dute txirrindulariak erabili zuela ukendu bat, markaren izen eta guzti, eta froga egin aurretik erakutsi ziela medikuaren errezeta.",Confirman el uso de un ungüento y lo nombran. El ciclista les mostró una receta médica antes de la prueba.,Erreur
"Michele Ferrarirekin elkartu ginen, Lanceren medikua, honek karabana batean bidaiatzen zuen, parkin batean elkartu ginen, Milan hiriaren kanpoaldean autobidetik irtenda, gasolindegi batean.","Conocimos a Ferrari, el doctor de Lance... Betsy Andreu Esposa de un Excompañero ...que viajaba en una casa rodante en un estacionamiento en las afueras de Milán, cerca de la carretera y de una gasolinera de hotel.",Erreur
"Ez dakit zuk, baina nik ez dut nire medikua horrela ikusten.","Yo no sé tú, pero yo no veo así a mi doctor.",Erreur
"Auzitan zeuden dopina eta elkarrizketa bat Lancek eta bere medikuak izandakoa, minbizia tratatzen ari zirela. Bai.",Giraba en torno al dopaje y una charla de Lance con su doctor mientras le trataban su cáncer.,Erreur
Medikua gelan sartu zen.,El doctor llegó.,Erreur
Medikuak galdera pare bat egin zizkion.,El doctor le hizo un par de preguntas.,Erreur
