Basque (eu),Spanish (es)
Lepoko hau nola erabiltzen zen esan digu Paul Regnard frantses medikuak.,El doctor francés Paul Regnard describe cómo se usa el collar.
"""Inurriak, euliak eta intsektuak jan, eta odola ateratzen die"". ""Medikuak txundituta dauzka"".","Su ansia por devorar hormigas, moscas y otros pequeños insectos para obtener su sangre, desconcierta a los médicos."
"Bakarrik ari naiz esaten gizon hau gaixorik dagoela, eta gaixoak ez dira borreroarengana eramaten, medikuarenera baino..",Quiero decir que este hombre está enfermo. Un hombre enfermo no debería ser ejecutado. - ¡Debería ser entregado a los médicos!
Hobe luke Kleok medikuari esatea zer bota zion bart ardoari.,Será mejor que obligues a Cleo a decirle al médico lo que le puso en el vino anoche.
Medikuak nekatzea debekatu dizu.,El médico le ha prohibido cansarse.
"""Jack, maitea, medikuarenean izan naiz eta orain Manderleyra noa.","""Querido Jack... Acabo de ver al médico y me voy corriendo a Manderley."
"Danny, nor zen Rebeccaren medikua?",¿Quién era el médico de Rebecca?
Baina Londresen zuen medikua nor zen?,Pero sabes que me refiero al médico de Rebecca en Londres.
Deitu diozue medikuari?,¿Han llamado al médico?
- Nik medikuari ordaindu behar diot.,- Yo tengo que pagar al médico.
- Medikuak dio hotza hartu duela.,- El médico dice que es un resfriado.
- Medikuak?,- ¿El médico?
Medikuak esan du ondo egongo dela Natibitate eguneko bazkarirako.,El médico dijo que estará bien para la comida de Navidad.
- Bere aholkulari medikua nintzen.,- Yo era su médico.
FILMEAN AZALDUTAKO GERTAKARI MEDIKUAK EGIAZKOAK DIRA.,"LOS HECHOS médicos EXPUESTOS EN LA PELÍCULA SON verídicos. ""TOXlNA luminosa"" ES EL término descriptivo"
- Medikuak gomendatu zuen.,- Lo sugirió el médico.
Madamen medikuak.,El médico de madam.
Medikua da hemen.,El médico está aquí.
Medikuak ahaleginik ez egiteko esan dizu.,Recuerda que el médico te prohibió cualquier esfuerzo.
Ez plazaratu medikuaren txostena 24 ordu barru arte.,Retenga el parte médico durante 24 horas.
Medikuak eman zidan.,Me lo dio el doctor.
Medikuak uste du hotzeria psikologiko bat izan daitekeela.,El doctor piensa que posiblemente la causa de mi resfrío sea la psicología.
Bereziki gogorra da medikua bazara... eta zuk jakin dakizu txarto dagoela.,Es particularmente duro cuando usted es médico.... Y usted sabe qué estaba mal con él.
"Entzun, landa medikua naiz, baina zenbait gauza badakizkit.","Escucha, soy sólo un médico rural, pero algunas cosas sé."
Edo salatu dezadan nahi duzu herriko medikua asaldatzearren?,¿O quieres que le levante cargos por perturbar al doctor del pueblo?
...uxe da medikua izatearen eragozpenetako bat.,Ésa es una de las desgracias de ser médico.
"Esan nion joateko medikuarenera, baina ez du egingo ezer...","Le pedí que viera a un médico, pero no hará nada..."
Bihar medikuarengana joango gara.,Mañana iremos a ver al médico.
"Medikua naizenez, zinez diotsut oker zaudela.","Como médico, puedo asegurarle que se equivoca."
"Erantzuidazu, Rosalie. Medikuak dio urduri dagoela.",El médico dice que está inquieto.
Poliziako medikuak zabarrak dira.,"Ya conoces a los médicos de la policía, no tienen estilo."
Medikuak esan zidan beste kolpe emozional batek senda dezakeela. Eta hori ere ez da ziurra.,"Le pregunté al médico y me dijo que sólo otro impacto emocional te la quitaría, y tampoco es seguro."
"Psikiatrarengana eramateko esango nizuke, neurologo batengana, are kabezerako medikuarengana.","Te diría que la llevases al psiquiatra, al psicólogo, al neurólogo más cercano, o incluso al médico de cabecera."
Jakin behar dut nora doan eta zer egiten duen medikuarengana joan aurretik.,"Tengo que saber adónde va y qué hace, antes de acudir a un médico."
Medikuak dio gaizki dagoela.,El doctor dice que se encuentra mal.
"Lasaiago dago orain, medikua dela medio.",Está más tranquila ahora que la vio un médico.
"Medikuak esan du, ezta, Jeanne?",Te levantarás en unos días. Lo dijo el doctor.
Medikua da.,Un Doctor.
-Nor da bere medikua?,- ¿El doctor que la atiende?
Medikuak bukatu du azterketa. Eta zurekin egon nahi du.,"El forense ha teminado su reconocimiento, y quiere hablar con usted."
"-Lasai, medikua naiz. -Hara!","-No se preocupe, soy médico."
Medikuak eta emakumeak!,Sí. ¡Médicos y mujeres!
- Etxeko medikua!,- Personal.
Ez. Medikuak esan zidan txarra zela nire termostatoarentzat.,El doctor dijo que era perjudicial para mi termostato.
"Medikua naiz, utzi pasatzen.","Soy médico, déjenme pasar."
Medikuaren esana zehatz bete eta une oroz zaindu ezazue.,"Sigan las instrucciones de la carta del doctor, y no lo descuiden ni por un momento."
Hahi duzu medikuari abisatzea?,¿Quieren que llame a un médico?
Uda itsas ertzean lasai pasatzeko medikuak esan dit.,'El médico me ha recomendado un verano tranquilo en la playa
"Horrela jarraitzen baduzu, medikuarengana joan beharko duzu.","Si esto sigue así, tendrá que ir al médico. Sí."
- Medikuari deituko diot.,- Llamaré al doctor.
"Medikuari deituz gero, abisua emango du. Hori da nahi duzuna?","Si llamas a un doctor, la denunciará. ¿Quieres eso?"
Ez deitu medikuari inolaz ere.,No debes llamar a un doctor bajo ninguna circunstancia.
- Medikuari deitu behar izan nion.,Llamé a un doctor. Tuve que hacerlo.
Eskualdeko medikuari deitu behar izan zuen.,Debió llamar al médico de la zona.
- Non da medikua?,- ¿Dónde está el médico?
Erreskate postuetan medikuak dituztela esan du.,El dijo que los puestos de rescate tienen médicos.
Gogorarazten dizuet medikua aztia ere badela.,"Les recuerdo que un médico, es también un hechicero."
Medikua ongilea da.,El médico es un benefactor.
Medikua zara!,¡Es médico!
Hobe duzu medikuarengana joan.,"Ve al médico, que es lo mejor."
Zoaz medikuarengana!,"¡Ve al doctor, ve!"
Zoaz medikuarengana.,Tendrás que ver a un médico.
"Medikuak esan zidan neumonia zela geroago hil baitzen, gripe-izurri betean.","El doctor dijo fue neumonía pues sucedió meses después, durante una epidemia."
Susmagarriari medikuaren eta abokatuaren laguntza ukatzeko?,¿Negar atención médica y abogado? ¿Dónde ha estado?
"Zerbait sartu nuen lehen aldian... Infekzioa izan nuen, eta kanpamenduko medikuak atera behar izan zidan.","La primera vez que me metí uno... se me infectó tanto, que me lo tuvo que sacar el médico del campamento."
X izpien medikua preso bat da izatez... Hindua edo horrelako zerbait.,El médico de rayos X es un convicto-- una especie de hindú o algo.
Medikua umea zaintzen ari da.,Está recibiendo atención médica.
Lo gehitxo egiten duela suposatzen dut... baina medikuak dio hori normala dela gertatu zena ikusita.,"Bueno, ella duerme demasiado, supongo, pero el doctor dijo que es normal después de todo esto."
"Batzu abokatuak dira, besteak medikuak.","Un tipo es abogado, otro tipo es doctor."
"Gero, medikuak esan bezala, ale bana bidali nien 4 editoreri.","Como me aconsejó el Dr. Bicard, envié ejemplares a cuatro editoriales parisinas."
Medikuak esan dizu ez mugitzeko.,El doctor dice que no debe moverse.
Joan dadila medikuarengana etxeratzean. Egia.,- Puede ver a un médico cuando lleguemos.
"Ziurtatu medikuak agiri bat ematen dizula, aditu?",Asegúrate de ir al médico por un certificado. ¿Me oyes?
Medikuak esan dit golf-zorroak astean bitan eramateko.,Mi doctor sugirió que cargara bolsas todas las semanas.
Medikuaren zereginak!,Llaman al doctor.
"Ez kezkatu honengatik, medikuak errezetatu du eta.",No le haga caso. Lo recetó el doctor.
"Hauxe da medikua, bere emaztea...",Este es el doctor y su esposa.
"Uste duzu ""beharbada"" eraman beharko genukeela medikuarenera?","¿Crees que ""quizás"" habría que llevarlo al médico?"
Nire anaia medikua da.,Mi hermano es médico. Una eminencia en su campo.
Medikuarekin egon naiz eta dena konponduta dago.,He visto al médico... todo está arreglado.
"Berandu itzultzen direnak, txosten medikua ekarrita ere, zigortu eta espetxe itxi batera joango da.","Ningún informe médico será válido. Todo retraso, incluso provisto de un informe, será castigado con el reenvío a la prisión vigilada. Para vuestra información."
"Begira, Mehmet; gaixo batek medikuaren laguntza nahi badu zintzo eta argi jokatu behar du berarekin.","- Mira Mehmet, si un enfermo quiere que su médico le sea útil, debe ser honrado y claro con él."
"Berandu itzultzen direnak, txosten medikua ekarrita ere, zigortu eta espetxe itxi batera joango da.","Ningún informe médico será válido. Cualquier retraso, incluso provisto de un informe, será castigado con el envío a la prisión vigilada."
Medikuak dio haize pixka bat hartu behar duela.,El médico dijo que debe tomar un poco de aire.
Gure medikua banan-banan aztertzen ari da.,El médico los está revisando uno por uno.
-Medikuarengana joan zara?,lo sé. Me pareció de repente.
Medikuak hori esan dit. Eta hortaz?,- ¿Está seguro?
Ez. Medikuak esan dit ez dela Maxen errua.,"No, el doctor dice que no era culpa de Max."
Uste dut medikuak laster etxera joaten utziko diola.,"Sí, el doctor dijo que pronto podrá salir del hospital."
"Amaren medikuak bidali du, ospitaletik.",Contáctese conmigo...
Lauraren medikua izan nintzen.,Laura era mi paciente. Van a la morgue.
"Leland, zuk egin behar duzuna da medikuaren aginduak jarraitu. Atsedena komeni zaizu. Baina barruko grina hau...",Lo mejor que puedes hacer es seguir las instrucciones del médico.
"Baina pentsa, estatuko zergak, udalekoak, ekipamendua, kostu medikuak, mantenua, administrazio-zergak... Tira, ikusten duzu.","Hay impuestos locales y estatales, gastos de equipamiento médicos y de mantenimiento, tasas administrativas y ya veis los resultados."
"Zure medikua naiz, Andy.","Yo soy tu médico, Andy."
- Eta deitu medikua.,- Y llame a un médico.
Deitu duzu medikua?,¿Ha llamado al médico?
Medikua?,¿AI médico?
Medikua beharko duzu.,Necesitará usted atención médica.
"Beraz, hemendik azkar irten nahi baduzu, Bobby-ri zure medikua izaten utzi beharko diozu.",Así que si quieres salir de aquí pronto tendrás que dejar que Bobby sea tu médico.
"Zure medikua naizenez, Leland, zer gertatu zaio zure ileari?","Bueno, como médico tuyo, Leland ¿qué diablos le ha ocurrido a tu pelo?"
Ez zait inporta medikuak zer dioen.,No me importa lo que dice el doctor.
Medikuak dio abestu egin behar dizudala.,El doctor dice que debo cantarte.
- Medikua da Bob zure laguna?,- ¿Su amigo Bob es doctor?
"Aita, medikua, erditzean egon zen.","Mi padre, que es médico, asistió el parto."
- Medikua zara?,¿Eres médico?
Shellyk Hayward medikuarenera eraman du haren entzumen arazoa aztertzeko.,Shelly Io llevó al doctor Hayward para que revisara su oído.
"Noski, medikuaren gastu guztiak ordainduko ditugu.","Por supuesto, pagaremos cualquier gasto médico."
"Nire ama hain aztoratua zegoenez, medikuak ez zuen ausardiarik izan tomate kutsatu batek haurdun utzi zuela esateko.",Ante la histeria de mi madre... el doctor no tuvo valor... para decirle que estaba embarazada... de un tomate contaminado.
"Medikuak hitzegitean, erantzun.","Cuando te hable la doctora, contesta."
Medikua al zara?,¿Eres un médico?
"Topalekura zaramatzat, Joek mediku bat bilatuko dizu medikuak sendatuko zaitu eta ondo egongo zara.","Te llevo al lugar del encuentro, Joe te va a buscar un médico... el médico te va a curar y... vas a estar bien."
"Medikuak sendatzen ez badu, ziur hilko da.","Sin atención médica, morirá con seguridad."
"Deitu larrialdiak, abokatua, medikua, norbaiti!","Llamen a emergencias, una ambulancia, un abogado, un médico, lo que sea!"
Emakume batek ezin zion egiteari utzi. Medikuarengana doa.,Era una mujer que no paraba de toser y que va a ver al médico.
Medikuak aztertu eta pilula ematen dio.,El médico la ausculta y le da una pastilla.
Medikua bahitu du!,¡Tomó al doctor de rehén!
"Ados; baina zure senarra medikua delako, eta erantzukizuna hartuz papera sinatu didalako.",Sólo porque su esposo es doctor y si él está de acuerdo en asumir toda la responsabilidad.
Deituko diot medikuari? Ez.,- ¿Llamo a un médico?
Medikuak dio hobeto zaudela eta etxera joan zaitezkeela.,Los médicos dicen que puedes irte a casa.
Iritsi da auzitegiko medikua?,¿Ha venido el forense?
Medikua!,Medic!
Non dago medikua?,¿Puedo conseguir un médico?
Medikuak ez dizuete utziko.,Los médicos no los dejarán.
Ferrero medikuak barkamena eskatzen du.,El Dr. Ferrero pide que le disculpe.
Analisiak egin ditut eta medikuaren agiria dut. Ez dago batere zalantzarik: zure umea edukiko dut.,"Me hice una prueba, tengo los certificados  y no hay duda de que tendré tu bebé."
Medikuak berehala ikusi behar du!,Mi amiga está aquí en coma. ¡Tenemos que ver a un médico ya!
"- Medikua orain ikus dezakegu, arren?",-¿Podemos ver a un médico ya?
Medikua oraintxe bertan behar dugu!,¡Mi amiga se va a morir aquí! ¡Necesitamos a un médico AHORA!
"Entzun, medikua ikus behar dut.","Escuche, tengo que ver a un médico."
Medikua naiz.,soy médico.
"Zu medikua zara, Holloway.",Tú eres médico.
Zer motako medikua zara?,¿qué tipo de doctora eres?
Nire medikuak dio hilean behin.,Mi doctor dice una vez por mes.
Medikuak ohean gelditzeko esan du.,El doctor lo había prohibido.
-Ez al duzu medikua ikusi?,-¿No ha visto al doctor?
Medikuaren fakturak,¡Las facturas del médico! ¿Tienes médico?
Deitu medikuari.,Usted llame al médico.
Zer esan dizu medikuak?,¿Qué ha dicho el médico?
"Horrek salbatu zuen, gure kanpamenduko medikua 20 minutuko distantziara zegoelako.",Esto le salvó porque nuestro campamento con el médico estaba a una distancia de 20 minutos.
"Medikuak atseden hartzeko esan zidan eta, beraz, ""Euriaren eta ilargiaren ipuina"" irakurri dut.","El doctor me contó el resto. Lo que lei fue, ""Historia de la lluvia y el viento"", incluyendo, ""Un juramento entre dos hombres""."
Medikua nitaz kezkatuta zegoen.,El doctor estaba preocupado por mí.
Gajoa. Henske medikua ekarriko diot.,Le traeré al Dr. Henske.
Henske medikuak ikusten bazaitu lasaiago egongo naiz.,Prefiero que la vea el Dr. Henske.
Henske medikuarengana noa.,Voy por el Dr. Henske.
Zatoz Henske medikua,Aquí está el Dr. Henske.
Eraman nazazue medikuarengana.,Llevadme a un médico.
"Gero, medikuarengana.","Luego, al médico."
"Medikuarengana, gero.","Al médico, luego."
Medikuarenera joan beharko zenuke.,Deberías ver un doctor.
Medikuak esan zigun.,Nos lo dijo el doctor.
"Baina harreman fisiko bakarra, azterketa medikua duenean izaten da.",Pero sólo tienen contacto físico durante el examen médico mensual.
Kevorkian medikuari deitu.,Llama al Dr. Muerte.
Medikua naiz.,"Willy, soy el doctor."
Arren zoaz medikuarengana.,"Por favor, ve al médico."
Medikuarenean izan al zara?,¿Has ido al médico?
"Eta medikuak esaten dio: ""Ba ez egin.""","El doctor le contesta: ""No lo haga""."
Ongi Medikuak sexu gehiago izan du aztertzen nik 6 hilabetetan baino.,¡El médico tuvo mejor sexo examinándola que yo en seis meses!
"""Irakasleak, medikuak, abokatuak hori baino gehiago gasta dezakeen jendea.",Es verdad.
"""Irakasleak, medikuak, abokatuak hori baino gehiago gasta dezakeen jendea. Gogoetan egon nintzen:",Ya no creo mucho en nada.
"Ez naiz medikua, ospitaleko administratzailea naiz bakarrik.","No soy médico, sólo el administrador del hospital."
Medikua ikustera joango naiz gero. Atzera!,Veré a mi doctor. ¡Atrás!
"- Hori medikuak ikus dezala, eta etxera joan.","- Ve al médico, vete a casa."
- Medikua ordaindu beharko didazu.,- ¡Debe pagar nuestros gastos médicos!
Medikua edo abokatua izateko aurrezten ari nintzen... ..baina munduko bakeak lehentasuna zeukan.,Estaba ahorrando para estudiar medicina o abogacía... pero se trataba de la paz mundial.
"Bai, iraniar kurdoa naiz, eta medikua.","Sí, soy kurdo iraní y médico."
Medikuaren bila noa.,Voy a buscar al médico.
Kapsula medikua lortu oraintxe bertan.,Trae una cápsula médica inmediatamente.
Diana Stanton medikuak izena aldatu zuen eta berria Delia Surride da.,La Dra. Diana Stanton se cambió el nombre a Delia Surridge.
Medikuak ekar itzazue.,Traigan los médicos.
Ez duzu nahi medikuak mandibula ikustea?,¡Ha de mirarse la mandíbula el médico!
Medikuarengana joan behar genuke.,"Sí, ¿sabes qué? Tal vez deberíamos ir a un médico."
Jonas Salk medikuak denbora guztia eman zuen tximinoen giltzurrunak urtzen polioa sendatuko zuen botika bat bilatzen.,Y el salario decente que ganaba como médico y profesor investigador alcanzaba para que viviera una vida cómoda. ¿Quién posee la patente de esta vacuna?
"Ondo pentsatuta, erabaki zuten, ez zegoela ondo aurretik abisatu barik inor kaleratzea, oporraldi eta indemnizazioen ordainketak ukatzea, eta arreta medikuak kentzea.","No abandonen su hogar. ¿Porque saben qué? Cuando esas empresas dicen que tienen su hipoteca a menos que tengan un abogado que pueda poner su dedo en esa hipoteca, no la tienen y Uds. descubrirán que no pueden hallar el documento en Wall Street."
berrogeita hamar shock gehiagok ere ezerezean gurutzerantz eginiko erromesalditik zure arima gorputzera inoiz itzularaziko ez duten lekuan zurekin nago Rocklanden zure medikuak ergel zorotzat jo eta iraultza hebrear-sozialistaren azpijokoa,Donde cincuenta shocks más no te devolverán nunca... tu alma a su cuerpo... desde su peregrinaje a una cruz en el vacío. Estoy contigo en Rockland Donde acusas a tus doctores de locura... y planeas la revolución socialista Hebrea... contra el Gólgota nacional fascista
zure medikuak ergel zorotzat jo eta iraultza hebrear-sozialistaren azpijokoa hausnartzen duzun lekuan Golgota nazional-faszistaren aurka zurekin nago Rocklanden,Donde acusas a tus doctores de locura... y planeas la revolución hebrea socialista... contra el Gólgota nacional fascista.
Medikuak esan dit kirol pixka bat egiteko.,El doctor me pidió hacer ejercicio.
Nire adinean eta lehenengo erditzea izanda medikuak oso erne neuzkan.,"Al ser ya mayor y mi primer embarazo, los médicos estuvieron siempre alerta..."
Medikuak esan dit ondo nagoela.,Dice que estoy bien.
"Medikuak esan bezala, Arta intentsiboetan dago.","Como dice el médico, está en cuidados intensivos."
"Medikuak belarriak begiratu zizkidan, ez zen otitis bat.","El médico examinó mis oídos, no era una otitis."
-Nire taldeko medikua da. -A bai?,- Es el sanitario en mi grupo.
"Horrelako medikuak nahi nituzke, ospitalera joanez gero.","Me gustarían doctoras como esas, si tuviera que ir al hospital."
Medikuak ahal duten guztia egiten ari dira.,Los doctores están haciendo todo lo posible.
Medikuarenetik etorri berri naiz berri zoragarriekin.,Estoy segura que acabo de volver del doctor con noticias que me cambiarán la vida.
Hau da Berlingo medikuaren telefonoa.,"Este es el número de un Dr. Aquí en Berlín,"
Ezin duzu eraman medikuak baimendu gabe.,"No puede llevarlo hasta, que no reciba confirmación."
Medikuak esan dit berehala elkartuko naizela biktima haiekin.,"Mis doctores me aseguraron que pronto, Me uniría a la lista de víctimas."
"Bai, baina, zer esan du medikuak?","Sí, pero ¿Qué dijo el doctor?"
epaitegia medikuaren eritziaren menpe dago.,Porque el tribunal escucha al doctor.
"Bai, eta epaitegia dio beraiek medikuari entzuten diotela.","Si, y el tribunal dijo que ellos escuchan al doctor, al doctor."
Nire medikua.,"Es mi doctor, Cliff."
Zer aholku eman zion medikuak?,¿Qué le recomendaron hacer al respecto?
Ingalaterrako medikuak hanka moztu beharko ziola esan zion.,El médico en Inglaterra le dijo que tenía que cortarle toda la pierna.
Bobek minbizia zuela esan zigun medikuak Alan eta bioi eta zabaldurik zuela.,El médico nos dijo a Allan y a mí que Bob Marley tenía cáncer y se había extendido.
Ezin genuela ezer egin eta birarekin jarraitzen uzteko esan zigun medikuak. Oso sendoa zela eta egunen batean agertokira atera eta bertan hilko zela esan zigun.,"Pero el médico nos dijo que no debíamos hacer nada, que debíamos dejarlo continuar la gira de conciertos, que era tan fuerte y poderoso que un día iba a salir al escenario e iba a caer muerto."
"Bobengatik ezin zuela gehiagorik egin esan zigun medikuak, eta alde nahi bagenuen, hurrengo 48 orduen buruan egin beharko genuela.","El médico dijo que no podía hacer más por Bob, y que si íbamos a irnos, debíamos hacerlo en cuestión de 48 horas."
Zure medikua poztuko da.,A tu doctor le agradará.
Medikuarekin hitz egin dut.,Hablé con el doctor.
Zurekin argudiatzeko eskatu nahi genion Kurt Blumenfeldi baina hilzorian dagoela esan digu bere medikuak.,"Queríamos pedirle a Kurt Blumenfeld que razonara con usted, pero su doctor dijo que está muriendo."
-Medikua naiz.,- Bien.
Ur gazietako hondartza batean ibiltzen ebaki bat egiten baduzu berehala joan behar duzu medikuarengana.,"Cuando uno camina por agua salobre o en la playa si se cortan, no crean que sanará fácilmente. Deben buscar atención médica inmediata si comenzara a enrojecer o si se sintieran mal."
"Jack Abrams naiz, Marylandeko Atlantic ospitaleko medikua.",Soy el Dr. Jack Abrams. Soy médico en el hospital Atlántico de Maryland.
Medikuarengana joan naiz.,¿Te he dicho que estoy yendo al médico?
- Gure medikuak dauzkagu.,- Tenemos nuestros doctores.
"Medikua ikusi nahi baduzu, arauak errespetatu itzazu.",Si quiere ver al médico tiene que respetar las normas. Lo siento.
TomMelby medikua naiz. Erietxea kudeatzen dut.,"Soy el Dr. Melby, dirijo el consultorio."
Eta gero medikua zetorrela esaten nion... eta beharbada haurdun nengoela.,Y entonces decía que había ido al médico y que estaba... que tal vez estaba embarazada.
-Medikuari deituko al diot?,¿Tengo que llamar a un doctor?
"Baieztatu dute txirrindulariak erabili zuela ukendu bat, markaren izen eta guzti, eta froga egin aurretik erakutsi ziela medikuaren errezeta.",Confirman el uso de un ungüento y lo nombran. El ciclista les mostró una receta médica antes de la prueba.
"Michele Ferrarirekin elkartu ginen, Lanceren medikua, honek karabana batean bidaiatzen zuen, parkin batean elkartu ginen, Milan hiriaren kanpoaldean autobidetik irtenda, gasolindegi batean.","Conocimos a Ferrari, el doctor de Lance... Betsy Andreu Esposa de un Excompañero ...que viajaba en una casa rodante en un estacionamiento en las afueras de Milán, cerca de la carretera y de una gasolinera de hotel."
"Ez dakit zuk, baina nik ez dut nire medikua horrela ikusten.","Yo no sé tú, pero yo no veo así a mi doctor."
"Auzitan zeuden dopina eta elkarrizketa bat Lancek eta bere medikuak izandakoa, minbizia tratatzen ari zirela. Bai.",Giraba en torno al dopaje y una charla de Lance con su doctor mientras le trataban su cáncer.
Medikua gelan sartu zen.,El doctor llegó.
Medikuak galdera pare bat egin zizkion.,El doctor le hizo un par de preguntas.
Ezin zuen gogoratu medikua gizonezkoa edo emakumezkoa zen.,No recordaba si el doctor era hombre o mujer.
"Medikuak onartuko du borrokaldia, beste edozein bezala, ados?",Esta pelea será autorizada por médicos como cualquier otra.
"Tira, aztertu zaituzten medikua nire anaia da.",Lo saben. Mi hermano es el médico que los vio.
Medikuak agindu bezalaxe.,Justo lo que ordenó el doctor.
Medikua?,¿Medicina?
Medikua iristeko zorian dago.,El médico no tardará en llegar.
Medikuak gomendatutako sendategira joango naiz.,"Padre, quiero ir al hospital que me recomendó el médico."
Eta medikuari ere esan diot.,Ya se lo he dicho al doctor.
Zorionak medikua izateagatik.,Enhorabuena por tu título de medicina.
Espero dut medikua izatea.,Espero que sea un doctor.
"Bai, medikua da.","Si, si, si, es un doctor."
"-Beraz, medikua zara.",- Eres médico.
Hitzordua medikuarekin.,Tengo una cita con el médico.
Hitzordua nuen medikuarekin.,Tuve una cita médica.
"'R Kelly-k hegan egin zezakeela sinesten zuen, 'eta Michael Jackson-ek bere medikua kualifikatua zegoela...'","""R Kelly creía que podía volar, ""y Michael Jackson creía que su doctor estaba cualificado..."""
-Badakizu ez zarela medikua?,-¿Sabe que no es un médico de verdad?
Ni ez naiz medikua.,Yo no soy médico.
"Badakit ez zarela medikua, buru-argi.","Tarado, ya sé que no eres médico."
"Oraintxe bertan, medikuarekin dago.",Ella está con el especialista en este momento.
Bazenekiten medikuaren hutsegite bat izan zela?,¿Sabes que ha sido por un fallo médico?
Tareken gorpua hozkailuan sartuta eduki zuten bi hilabetez. Hala dio auzitegiko medikuaren txostenak.,"Mantuvieron refrigerado el cuerpo de Tarek más de dos meses, según el informe del forense."
Kaka! Medikuak potroak moztu dizkizu ala?,¿El doctor te cortó las pelotas?
"Behin medikuarenera joan nintzen, eta Chlamydia nuela esan zidaten.",Un día fui al doctor y me dijeron que tenía clamidia.
"Farmazia enpresetakoak dira, ez medikuak.","Representan a compañías, no son médicos."
Nork esan du medikua naizela?,¿Quién dijo que era doctor?
"Zerbait esan nahi badidazu, hitz egin nire benetako medikuarekin, Eve Saks-ekin... eta zuk, ekarri armada puta oso bat","Si tiene algo que decirme, dígaselo a mi doctora, Eve Saks y tú trae un maldito ejército."
Bere medikua zara eta ez dakizu zer hartzen duen?,¿Ud. es su médico y no sabe qué medicinas toma?
-Segurtasuna! Medikua zarela diozu?,¿Te llamas un doctor?
"Medikuak, apaizak eta Erdi Aroko zaldunak bezala.","Como los médicos, los curas, los caballeros medievales..."
Biziko da. Medikuak dio...,El doctor dijo que estará bien.
Hor dator medikua.,Aquí viene la doctora.
Medikuak behar ditugu.,Necesitamos médicos.
Medikua zara.,- Es doctor.
Medikua edo horrelako zerbait ote zara?,¿Eres un doctor o algo?
Ohartu medikuari.,"Nancy, trae al doctor."
Badator medikua.,Es el doctor.
"Egundokoak entzun behar ditu medikuak... hurrengo hitzorduan, asteartean!",Ese médico brujo me va a escuchar en mi cita de revisión el próximo martes.
Buruko mina dut. Medikuarengana joan naiz.,Fui a ver a un doctor.
Zertarako egin prestakuntza medikua izateko asmorik ez bazenuen?,¿Por qué te graduaste en pre-medicina si no deseas estudiar medicina?
"Bai, egiten duzun gauza bat dago... ohetik altxatzen zara... eta bira antzeko bat egiten duzu... eta ahal bezain laster arropa kentzen duzu... medikuarenean egongo bazina bezala.","Vale, sí, haces esta cosa donde tes levantas de la cama te das vuelta y te desnudas tan rápido como sea posible y es como si estuvieras preparándote para un examen físico o algo así."
Zure gurasoak medikuak ziren?,"Entonces, ¿Tus padres fueron médicos?"
Ez da medikua izateko asmoa bertan behera utzi nuela.,No es que dejé de querer ser médico.
Orduan medikua izan nahi duzu.,Así que quieres ser un doctor.
Ez dut inoiz medikua izan nahi. Inoiz.,"Yo nunca quería ser un médico, nunca... ugh."
Mike medikua bilatuko dut hitz egiten ari zarela esateko.,Buscaré al doctor Mike para decirle que estás hablando. Qué bien.
