Basque (eu),Spanish (es),es_traduction
"Bilera honetan IK4-IDEKOko 4 pertsonek parte hartu zuten; Xavier Beudaert, kide korporatiboa; David Barrenetxea, kide elkartua; Jokin Muñoa, berriki talde exigenteko kide izatera pasatu dena, produkzio ingeniaritza alorrean onenentzat erreserbatua dagoen taldea hain zuzen ere; eta Mikel Zatarain, gaur egun CIRPn Espainiak duen kide numerario (fellow) bakarra.","A esta reunión asistieron cuatro personas de IK4-IDEKO, el miembro corporativo Xavier Beudaert, el miembro asociado David Barrenetxea, y Jokin Muñoa, quien recientemente ha pasado a ser parte de este círculo exigente reservado a los mejores en el ámbito de la ingeniería de la producción y Mikel Zatarain, único miembro numerario (fellow) representante de España en CIRP en la actualidad.","En esta reunión participaron 4 personas del IK4-IDEKO; Xavier Beudaert, miembro corporativo; David Barrenetxea, miembro asociado; Jokin Muñoa, que recientemente se ha incorporado al equipo exigente, un equipo reservado para los mejores en el área de ingeniería de producción; y Mikel Zatarain, quien actualmente es el único miembro numerario (fellow) de España en el CIRP."
"Masterrak ingeniaritzako beste alorreko graduatuak onartzen ditu (bereziki, telekomunikazio eta industriakoak), baita zientzietako tituludunak ere (bereziki, matematikak eta fisika).","El máster permite el acceso de graduados en otros títulos de la rama de ingeniería (en particular, telecomunicación e industriales), así como en títulos de la rama de ciencias (en particular, matemáticas y físicas).","Los maestros aceptan graduados en ingeniería de otros campos (especialmente en telecomunicaciones e industria), así como titulados en ciencias (especialmente matemáticas y física)."
"Saioetan eta tailerretan parte hartu ondoren, Mondragon Unibertsitateko Industria Antolakuntzako Ingeniaritza Graduko 3. ikasturteko ikasleek egindako proiektua aurkezteko aukera izan zuten: Lehiarako abantaila gehitzeko logistikako faktore gakoak identifikatzeko, salmenten eta banaketaren sektorean espezializatutako enpresa industrial baten hornidura katearen analisia.","Tras participar en las sesiones y talleres, tuvieron la oportunidad de presentar el proyecto realizado con los estudiantes del 3º curso del Grado en Ingeniería en Organización Industrial de Mondragon Unibertsitatea: Análisis de la cadena de suministro de una empresa industrial especializada en el sector de ventas y distribución para identificar los factores logísticos clave que incrementen la ventaja competitiva.","Después de participar en sesiones y talleres, los estudiantes del 3er curso del Grado en Ingeniería de Organización Industrial de la Universidad de Mondragon tuvieron la oportunidad de presentar un proyecto que consistió en identificar los factores clave de la logística para agregar una ventaja competitiva, mediante el análisis de la cadena de suministro de una empresa industrial especializada en el sector de ventas y distribución."
"P1G1A gela (I eraikina, IGET), Bilboko Ingeniaritza Eskolan","Aula P1G1A (edificio I, ETSI), Escuela de Ingeniería de Bilbao","La frase en euskera ""P1G1A gela (I eraikina, IGET), Bilboko Ingeniaritza Eskolan"" se traduce al español como: ""Sala P1G1A (edificio I, IGET), en la Escuela de Ingeniería de Bilbao""."
Gehiago irakurri Mondragon Unibertsitatearen beste bi ingeniaritza-tituluk kalitatearen Europako zigilua eskuratu dute,Leer Más Dos nuevos títulos de Ingeniería de Mondragon Unibertsitatea obtienen el sello europeo de alta calidad,Lee más sobre los otros dos títulos de ingeniería de Mondragon Unibertsitatea que han obtenido el sello de calidad europeo.
"Hala ere, garapen berrien abangoardian egon asmoz ingurumen ingeniaritza sailak bere ikerketa helburuak egokitu behar izan ditu.","En la última década, las tecnologías estudiadas/analizadas se han ido ampliando y adaptando a los objetivos de la investigación con el propósito de estar a la cabeza de los nuevos desarrollos.","A pesar de ello, el departamento de ingeniería ambiental ha tenido que ajustar sus objetivos de investigación para estar a la vanguardia en los nuevos desarrollos."
Ingeniaritza eta aholkularitza,Ingeniería y asesoramiento,Ingeniería y consultoría
"Hamar urte badira euskal haur eta gazteen artean STEAM prestakuntza bultzatzeko ekimen honen buru eta antolatzaile dela Innobasque.Hezkuntza praktikoa, zientzia, teknologia, ingeniaritza eta matematikak biltzen dituena egungo gizarte-erronkak konpontzeko.Ekimen hau STEAM Euskadi Estrategiaren barruan sartzen da, Eusko Jaurlaritzak bultzatua Innobasquerekin lankidetzan. Laguntzaileak Innobasqueren laguntzaile izango dira FIRST LEGO League Euskadin Euskaltel Konekta Fundazioa, Eusko Jaurlaritzako Hezkuntza Saila, MONDRAGON Korporazioa, Petronor Innovación/Berrikuntza, Gasteizko Udala, Arabako Foru Aldundia, Bizkaiko Foru Aldundia, Sener eta AZTI.","En definitiva, cualquier propuesta que contribuya a mantenerse con vida, sanos y felices en el espacio exterior. Innobasque lidera y organiza desde hace diez años esta iniciativa para impulsar la Educación STEAM en la infancia y juventud vascas. Una educación práctica que integra la ciencia, la tecnología, la ingeniería y las matemáticas para resolver los Euskadi la Fundación Euskaltel Konekta, el Departamento de Educación del Gobierno Vasco, MONDRAGON Corporación, Petronor Innovación, el Ayuntamiento de Vitoria-Gasteiz, la Diputación Foral de Prensa, Noticias, SliderHOME","Diez años llevamos siendo Innobasque los encargados de impulsar y organizar esta iniciativa para promover la formación STEAM entre niños y jóvenes vascos. Esta iniciativa, que integra educación práctica en ciencia, tecnología, ingeniería y matemáticas, busca preparar a las nuevas generaciones para afrontar los retos de la sociedad actual. 

La iniciativa se enmarca dentro de la Estrategia STEAM Euskadi, promovida por el Gobierno Vasco en colaboración con Innobasque. En FIRST LEGO League Euskadi, los socios que colaboran con Innobasque son Euskaltel Konekta Fundazioa, el Departamento de Educación del Gobierno Vasco, MONDRAGON Korporazioa, Petronor Innovación/Berrikuntza, el Ayuntamiento de Gasteiz, la Diputación Foral de Álava, la Diputación Foral de Bizkaia, Sener y AZTI."
Industria Antolakuntzaren Ingeniaritzako Gradua (Bizkaia) (Bilboko Ingeniaritza Goi Eskola Teknikoa),Grado en Ingeniería Eléctrica (Alava) (Escuela Universitaria de Ingeniería de Vitoria-Gasteiz),Grado en Ingeniería de Organización Industrial (Bizkaia) (Escuela Superior de Ingeniería de Bilbao)
"Gure indarrek garena izatera eraman gaituzten horiek izaten jarraitzen dute: gaitasun handiz prestatutako giza talde bat, ezaugarritzat ingeniaritza logistikoa eta berrikuntza dituena, eta merkatuko beharrei erantzuteko eta bezeroa erabat gogobetetzeko gai dena.","Nuestras fortalezas siguen siendo las mismas que nos han hecho llegar a ser lo que somos: Un equipo humano formado con una alta capacidad profesional, cuyas señas de identidad son la ingeniería logística y la innovación capaces de responder a las nuevas necesidades de mercado y a conseguir la máxima satisfacción del cliente.","Nuestras fuerzas, que nos han llevado a ser lo que somos hoy, siguen siendo las mismas: un equipo humano altamente capacitado, con características como la ingeniería logística y la innovación, y capaz de responder a las necesidades del mercado y de satisfacer completamente al cliente."
"Alvarezek EAJren jarrera botere kontua baino ez dela adierazi du; “minduta dago Barakaldoko bizilagunak elkartzeko eta hainbat aukera aurkezteko gaitasuna izan dutelako, ingeniaritza eta ingurumen ikerlanak mahai gainean jarrita, euren luma-kartoia baino askoz hobeak. Ez dute euren erabakiak dudatan jartzen dutenak ondoan izan nahi”.","Para Álvarez, la postura del PNV tiene que ver más con un tema de poder, ""el PNV está dolido porque la ciudadanía ha sido capaz de articularse y presentar alternativas con estudios de ingeniería y medioambientales, netamente mejores que su cartón pluma, y no quieren permitir que se pongan en duda sus decisiones"".","Alvarezek ha expresado que la actitud del PNV no es más que una cuestión de poder; ""están molestos porque los vecinos de Barakaldo han mostrado la capacidad de reunirse y presentar varias opciones, con estudios de ingeniería y medioambientales sobre la mesa, mucho mejores que sus propios folios. No quieren a los que cuestionan sus decisiones a su lado""."
"55 metroko altuera eta 75 metroko diametroa duten tanga hauetan, teknologia aurreratuenaz egiten diren ingeniaritzako lan bikain hauetan, biltegiratzen da GNLa eta -160oC-tan edukitzen dute hoztuta.","Con 55 metros de altura y 75 de diámetro, estas obras de ingeniería realizadas con la más avanzada tecnología permiten almacenar el GNL manteniéndolo refrigerado a -160°C.","En estas tinas de 55 metros de altura y 75 metros de diámetro, donde se realizan trabajos de ingeniería de primera categoría utilizando tecnología avanzada, se almacena el GNL y se mantiene a -160°C."
"Ingeniaritza Sistemetako eta Automatikoko Elektronika arloan, Valladolideko Unibertsitatean, non Zientzia Fisikoko Doktore titulua ere lortu zuen.","El profesor Cesar de Prada se graduó en Ciencias Físicas, Electrónica, en la Universidad de Valladolid y donde obtuvo posteriormente el título de Doctor en Ciencias Físicas.","Ingeniería de Sistemas y Electrónica Automática en la Universidad de Valladolid, donde también obtuvo el título de Doctor en Ciencias Físicas."
"""Munduko ordenagailuek dituzten egungo algoritmo nagusien aldean ikusi dugun nagusitasun kuantikoaren erakustaldi hau lorpen benetan bikaina da"", dio William Oliverrek, alegia, Massachusettseko Institutu Teknologikoaren Ingeniaritza Informatiko eta Fisikoaren Departamentuko ikertzaileak.","""Esta demostración de supremacía cuántica sobre los principales algoritmos clásicos actuales en los principales superordenadores del mundo es realmente un logro notable"", señala William Oliver, investigador del Departamento de Ingeniería Informática y Física del Instituto Tecnológico de Massachusetts (MIT).","""La demostración de superioridad cuántica que hemos visto frente a los principales algoritmos de los ordenadores actuales del mundo es un logro verdaderamente notable"", dice William Oliver, es decir, investigador del Departamento de Ingeniería Informática y Física del Instituto Tecnológico de Massachusetts."
"Ingeniaritza Mekanikoko titulazioan, 81 emakumek eta 293 gizonek amaitu zituzten ikasketak; Industria Ingeniaritza Elektronikoan eta Automatikoan, berriz, 19 emakumek eta 114 gizonek.",En la titulación de grado en Ingeniería mecánica 81 mujeres y 293 hombres finalizaron estudios; en el grado en Ingeniería Electrónica Industrial y Automática 19 mujeres y 114 hombres lo hicieron.,"En la titulación de Ingeniería Mecánica, 81 mujeres y 293 hombres completaron sus estudios; en Ingeniería Industrial Electrónica y Automatización, 19 mujeres y 114 hombres."
ENEDI (Energética en la Edificación) Ikerketa Taldeak egingo ditu hitzarmen horretan egin beharreko lanak. EHUko Materialen Ingeniaritzako Makina eta Motor Termikoen Saileko kideek osatzen dute talde hori.,"Los trabajos que se van a desarrollar en el marco de este convenio serán llevados a cabo por el Grupo de Investigación ENEDI (Energética en la Edificación), compuesto por miembros del Departamento de Máquinas y Motores Térmicos y el de Ingeniería de Materiales de la UPV/EHU.","El Grupo de Investigación ENEDI (Energética en la Edificación) realizará los trabajos acordados en ese convenio. El grupo está compuesto por miembros del Departamento de Ingeniería de Materiales, Máquinas y Motores Térmicos de la UPV."
"Horren adibide dugu Fernando Capelastegui Herrero jauna, zeinak Bilboko Ingeniaritza Eskolako Fundazioak sustatutako “Ingenia Saria” jaso baitzuen iaz Urkullu lehendakariaren eta EHUko errektore Iñaki Goirizelaiaren eskutik.","Las personas que integran SECOT, suelen ser gran referente de dedicación a tareas de voluntariado. Ejemplo de ello es D.Fernando Capelastegui Herrero, que también el pasado año recibió promueve la Fundación Escuela de Ingenieros de Bilbao (FEIB).","Esta es una muestra de Fernando Capelastegui Herrero, quien recibió el ""Premio Ingenia"" promovido por la Fundación de la Escuela de Ingeniería de Bilbao, de manos del lehendakari Urkullu y del rector de la UPV/EHU Iñaki Goirizelaia el año pasado."
"2018/07/15 Hezkuntza sailburuordea Ebazpena, 2018ko martxoaren 19koa, zeinaren bidez Haur Hezkuntzako, Lehen Hezkuntzako eta Derrigorrezko Bigarren Hezkuntzako ikastetxe publikoei dei egiten baitzaie 2018-2019 ikasturtean STEAM (Zientzia, Teknologia, Ingeniaritza, Artea eta Matematikak) arloetan berrikuntza-proiektuak gara ditzaten.","15/07/2018 Viceconsejera de Educación Resolución de 19 de marzo de 2018, por la que se convoca a los centros públicos de Educación Infantil, Primaria y Secundaria para el desarrollo de Proyectos de innovación en STEAM (Science, Technology, Engineering, Art & Maths), durante el curso 2018-2019.","El 15 de julio de 2018, el viceministro de Educación emitió una Resolución, fechada el 19 de marzo de 2018, que invita a las escuelas públicas de Educación Infantil, Primaria y Educación Secundaria Obligatoria a desarrollar proyectos de innovación en los campos de STEAM (Ciencia, Tecnología, Ingeniería, Arte y Matemáticas) para el curso 2018-2019."
Ingeniaritza Mekanikoa + Industria Elektronika eta Automatikaren Ingeniaritza,Ingeniería Mecánica + Ingeniería Electrónica Industrial y Automática,Ingeniería Mecánica + Ingeniería de Electrónica y Automática Industrial
"Benetan benetako ostatatze bazkide bat bilatzen duten bezeroek gure eskaintza gehien eskertzen dute; Hemen gara ingeniaritza, diseinua, ezarpena, jarraipena eta laguntza.","Los clientes que buscan un verdadero socio de alojamiento aprecian nuestra oferta sobre todo; estamos allí para ayudar con la ingeniería, el diseño, la implementación, el monitoreo y el soporte.","Los clientes que buscan un verdadero socio de alojamiento aprecian más nuestra oferta; estamos aquí para la ingeniería, diseño, instalación, seguimiento y asistencia."
Geomatika eta Topografia Ingeniaritzako taulak,Ingeniería Geomática y Topografía Ingeniería Eléctrica,"Geomática y topografía, tablas de ingeniería. 

Nota: Esta es una traducción literal y puede no tener sentido completo en español. La frase original en euskera podría necesitar contexto adicional para una traducción precisa."
EFIBeko (Bioingeniaritzako Europar Federazioa) idazkaria.,Secretario de EFIB (Federación Europea de Bioingeniería).,El secretario de la FIB (Federación Europea de Bioingeniería).
"Diziplina zientifikoetan, aurreko urteetan bezalaxe, Gipuzkoa aurrena, non ingeniaritza eta teknologia I+G gastuaren %78,8 diren.","En cuanto a las disciplinas científicas, y al igual que en años anteriores, destaca Gipuzkoa, donde la Ingeniería y tecnología supone el 78,8% del gasto en I+D.","En las disciplinas científicas, como en años anteriores, Gipuzkoa se sitúa a la cabeza, donde la ingeniería y la tecnología representan el 78,8% del gasto en I+D."
Unibasq-ek Automobilgintzaren Ingeniaritzako Graduaren aldeko egiaztapen txostena eman du,Unibasq emite informe favorable de verificación del Grado en Ingeniería en Automoción.,"""Unibasq ha emitido un informe de verificación a favor de la Grado en Ingeniería de Automoción"""
Nafarroako Unibertsitate Publikoko Unibertsitate Masterra Telekomunikazio Ingeniaritzan,Máster Universitario en Ingeniería de Materiales y Fabricación,Máster en Ingeniería de Telecomunicaciones de la Universidad Pública de Navarra.
"AGINDUA, 2017ko maiatzaren 16koa, Gobernantza Publiko eta Autogobernuko sailburuarena. Honen bidez, onartu egiten da Industria Ingeniaritzako Gradudunen, Ingeniari Tekniko Industrialen eta Peritu Industrialen Gipuzkoako Elkargo Ofizialeko estatutuen 2. artikulua…","mayo de 2017, del Consejero de Gobernanza Pública y Autogobierno, por la que se aprueba la modificación del artículo 2 de los estatutos del Colegio Oficial de Graduados en Ingeniería de la Rama Industrial, Ingenieros Técnicos Industriales y Peritos…","La disposición de 16 de mayo de 2017 del consejero de Gobierno Público y Autogobierno. Por la presente se aprueba el artículo 2 de los estatutos del Colegio Oficial de Ingenieros Industriales, Ingenieros Técnicos Industriales y Peritos Industriales de Gipuzkoa..."
"• MASTER BUKAERAKO LANAGATIK BEKA Master bukaerako lana eta honi lotutako praktikak ingeniaritzako ikasketen azkeneko fasean burutzen dira 5 hilabetez, non ikasleak praktikan jartzen dituen karreran ikasitako ezagutza eta ahalmenak ingurugiro erreal batean (enpresa, zentro teknologiko, ikerketa laborategi).","El trabajo fin de Máster y las prácticas asociadas se realizan en la fase final de los estudios de ingeniería con una duración de 5 meses, donde el alumno/a pone en práctica en un entorno real (empresa, centro tecnológico, laboratorio de investigación) los conocimientos y capacidades adquiridas en la carrera.","El trabajo de fin de master y las prácticas relacionadas se realizan durante 5 meses en la última fase de los estudios de ingeniería, donde el estudiante aplica los conocimientos y habilidades adquiridos durante la carrera en un entorno real (empresa, centro tecnológico, laboratorio de investigación)."
"Ada Byron, Giza Eskubideak, Enplegua eta Ekintzailetza, Enpresa eta Industria, Ingeniaritza Fakultatea, igualdad, industria, Mujer, Teknologia Berriak eta Internet, Aisia eta Kultura, Madrilgo Egoitza, talento, Tecnología","Ada Byron, Derechos Humanos, Empleo y Emprendimiento, Empresa e Industria, Facultad de Ingeniería, igualdad, industria, Mujer, Nuevas Tecnologías e Internet, Ocio y Cultura, Sede Madrid, talento, Tecnología","Ada Byron, Derechos Humanos, Empleo y Emprendimiento, Empresa e Industria, Facultad de Ingeniería, igualdad, industria, Mujer, Nuevas Tecnologías e Internet, Ocio y Cultura, Sede de Madrid, talento, Tecnología."
Ingeniaritza Kimikoa - Zientzia eta Teknologia Fakultatea - UPV/EHU,Ingeniería Química - Facultad de Ciencia y Tecnología - UPV/EHU,Ingeniería Química - Facultad de Ciencias y Tecnología - UPV/EHU
"Txandakako IMH Ingeniaritza burutzeko, derrigorrezkoa da 2. eta 3. maila artean, gutxienez 10 asteko lan egonaldi bat atzerrian gauzatzea.","Para finalizar la Ingeniería IMH en Alternancia, es indispensable haber realizado una estancia laboral de como mínimo 10 semanas, realizada normalmente entre 2º y 3º.","Para completar la Ingeniería de Máquinas y Procesos, es obligatorio realizar, entre el segundo y el tercer nivel, un periodo de trabajo de al menos 10 semanas en el extranjero."
Eléctrica y Electrónica - Ingeniaritza Elektriko eta Elektronikoa Saila,Ingeniería en Electrónica y Comunicaciones Ingeniería Eléctrica y Electrónica,Ingeniería Eléctrica y Electrónica - Departamento de Ingeniería Eléctrica y Electrónica
Hainbat lubaki eta ingeniaritza lan egin behar izan ziren.,En su ejecución fueron necesarias varias trincheras y obras de ingeniería.,Se necesitaron realizar varios trabajos de excavación y de ingeniería.
"Ezaugarri onak direla eta, ingeniaritza zibileko komunitateek material konposatu aurreratuak erabiltzea pentsatu beharko lukete egitura berriak eraikitzeko eta lehendik daudenak errehabilitatzeko.","Debido a todas estas propiedades favorables, las comunidades de ingeniería civil deberían considerar el uso de los materiales compuestos avanzados tanto para construir las nuevas estructuras como para rehabilitar las ya existentes.","Debido a sus buenas características, la comunidad de ingeniería civil debería considerar el uso de materiales compuestos avanzados para construir estructuras nuevas y rehabilitar las existentes."
Txandakako IMH Ingeniaritzan proiektuen aurkezpenak,Presentación de proyectos en la Ingeniería IMH en Alternancia,Las presentaciones de proyectos en Ingeniería Mecánica e Hidráulica se realizan de manera periódica.
"Trataera | Zurtek, ingeniaritza, eraikuntza eta zurezko egituren muntaketa","Tratamiento | ZURTEK, Ingeniería, construcción y montaje de estructuras en madera","Tratamiento | Investigación, ingeniería, construcción y montaje de estructuras de madera"
Industria Elektronikoren eta Automatikaren Ingeniaritzako Gradua (186KB),Grado en Ingeniería en Electrónica Industrial y Automática,Grado en Ingeniería de Electrónica e Ingeniería Automática.
"Belo Monte urtegia munduko ingeniaritza proiekturik handiena da egun, munduko hirugarren urtegirik handiena izango da.","El embalse de Belo Monte es en la actualidad uno de los proyectos de ingeniería más grandes del mundo, se convertirá en el tercer embalse mayor del mundo.","El proyecto de la presa de Belo Monte es actualmente el mayor proyecto de ingeniería en el mundo, y se convertirá en la tercera presa más grande del mundo."
– Softwarearentzat onartutako aurrekontua (Aholkularitza edota Ingeniaritza Gastuentzat onartutako aurrekontuaren % 50eraino gehienez).,– El presupuesto aceptado en Software (hasta un máximo del 50% del presupuesto aceptado en Gastos de Consultoría y/o Ingeniería).,- Presupuesto aceptado para el software (hasta un máximo del 50% del presupuesto aceptado para gastos de Consultoría o Ingeniería).
"Bestalde, Software Ingeniaritza espezialitateko “Web sistemak” irakasgaiarekin lotura dauka irakasgai honek beste ikuspuntu bat erabiliz biek azaltzen baitituzte web aplikazioen inguruko hainbat kontzeptu.","Por otra parte, esta asignatura tiene relación con la asignatura “Sistemas web” de la especialidad Ingeniería de software ya que ambas explican conceptos relacionados con las aplicaciones web, aunque usando un enfoque distinto.","Además, esta asignatura está relacionada con el tema ""Sistemas Web"" de la especialidad de Ingeniería de Software, ya que ambas explican varios conceptos relacionados con las aplicaciones web desde diferentes perspectivas."
