Basque (eu),Spanish (es)
"Ingeniaritza Mekanikoko titulazioan, 81 emakumek eta 293 gizonek amaitu zituzten ikasketak; Industria Ingeniaritza Elektronikoan eta Automatikoan, berriz, 19 emakumek eta 114 gizonek.",En la titulación de grado en Ingeniería mecánica 81 mujeres y 293 hombres finalizaron estudios; en el grado en Ingeniería Electrónica Industrial y Automática 19 mujeres y 114 hombres lo hicieron.
ENEDI (Energética en la Edificación) Ikerketa Taldeak egingo ditu hitzarmen horretan egin beharreko lanak. EHUko Materialen Ingeniaritzako Makina eta Motor Termikoen Saileko kideek osatzen dute talde hori.,"Los trabajos que se van a desarrollar en el marco de este convenio serán llevados a cabo por el Grupo de Investigación ENEDI (Energética en la Edificación), compuesto por miembros del Departamento de Máquinas y Motores Térmicos y el de Ingeniería de Materiales de la UPV/EHU."
"Horren adibide dugu Fernando Capelastegui Herrero jauna, zeinak Bilboko Ingeniaritza Eskolako Fundazioak sustatutako “Ingenia Saria” jaso baitzuen iaz Urkullu lehendakariaren eta EHUko errektore Iñaki Goirizelaiaren eskutik.","Las personas que integran SECOT, suelen ser gran referente de dedicación a tareas de voluntariado. Ejemplo de ello es D.Fernando Capelastegui Herrero, que también el pasado año recibió promueve la Fundación Escuela de Ingenieros de Bilbao (FEIB)."
"2018/07/15 Hezkuntza sailburuordea Ebazpena, 2018ko martxoaren 19koa, zeinaren bidez Haur Hezkuntzako, Lehen Hezkuntzako eta Derrigorrezko Bigarren Hezkuntzako ikastetxe publikoei dei egiten baitzaie 2018-2019 ikasturtean STEAM (Zientzia, Teknologia, Ingeniaritza, Artea eta Matematikak) arloetan berrikuntza-proiektuak gara ditzaten.","15/07/2018 Viceconsejera de Educación Resolución de 19 de marzo de 2018, por la que se convoca a los centros públicos de Educación Infantil, Primaria y Secundaria para el desarrollo de Proyectos de innovación en STEAM (Science, Technology, Engineering, Art & Maths), durante el curso 2018-2019."
Ingeniaritza Mekanikoa + Industria Elektronika eta Automatikaren Ingeniaritza,Ingeniería Mecánica + Ingeniería Electrónica Industrial y Automática
"Benetan benetako ostatatze bazkide bat bilatzen duten bezeroek gure eskaintza gehien eskertzen dute; Hemen gara ingeniaritza, diseinua, ezarpena, jarraipena eta laguntza.","Los clientes que buscan un verdadero socio de alojamiento aprecian nuestra oferta sobre todo; estamos allí para ayudar con la ingeniería, el diseño, la implementación, el monitoreo y el soporte."
Geomatika eta Topografia Ingeniaritzako taulak,Ingeniería Geomática y Topografía Ingeniería Eléctrica
EFIBeko (Bioingeniaritzako Europar Federazioa) idazkaria.,Secretario de EFIB (Federación Europea de Bioingeniería).
"Diziplina zientifikoetan, aurreko urteetan bezalaxe, Gipuzkoa aurrena, non ingeniaritza eta teknologia I+G gastuaren %78,8 diren.","En cuanto a las disciplinas científicas, y al igual que en años anteriores, destaca Gipuzkoa, donde la Ingeniería y tecnología supone el 78,8% del gasto en I+D."
Unibasq-ek Automobilgintzaren Ingeniaritzako Graduaren aldeko egiaztapen txostena eman du,Unibasq emite informe favorable de verificación del Grado en Ingeniería en Automoción.
Nafarroako Unibertsitate Publikoko Unibertsitate Masterra Telekomunikazio Ingeniaritzan,Máster Universitario en Ingeniería de Materiales y Fabricación
"AGINDUA, 2017ko maiatzaren 16koa, Gobernantza Publiko eta Autogobernuko sailburuarena. Honen bidez, onartu egiten da Industria Ingeniaritzako Gradudunen, Ingeniari Tekniko Industrialen eta Peritu Industrialen Gipuzkoako Elkargo Ofizialeko estatutuen 2. artikulua…","mayo de 2017, del Consejero de Gobernanza Pública y Autogobierno, por la que se aprueba la modificación del artículo 2 de los estatutos del Colegio Oficial de Graduados en Ingeniería de la Rama Industrial, Ingenieros Técnicos Industriales y Peritos…"
"• MASTER BUKAERAKO LANAGATIK BEKA Master bukaerako lana eta honi lotutako praktikak ingeniaritzako ikasketen azkeneko fasean burutzen dira 5 hilabetez, non ikasleak praktikan jartzen dituen karreran ikasitako ezagutza eta ahalmenak ingurugiro erreal batean (enpresa, zentro teknologiko, ikerketa laborategi).","El trabajo fin de Máster y las prácticas asociadas se realizan en la fase final de los estudios de ingeniería con una duración de 5 meses, donde el alumno/a pone en práctica en un entorno real (empresa, centro tecnológico, laboratorio de investigación) los conocimientos y capacidades adquiridas en la carrera."
"Ada Byron, Giza Eskubideak, Enplegua eta Ekintzailetza, Enpresa eta Industria, Ingeniaritza Fakultatea, igualdad, industria, Mujer, Teknologia Berriak eta Internet, Aisia eta Kultura, Madrilgo Egoitza, talento, Tecnología","Ada Byron, Derechos Humanos, Empleo y Emprendimiento, Empresa e Industria, Facultad de Ingeniería, igualdad, industria, Mujer, Nuevas Tecnologías e Internet, Ocio y Cultura, Sede Madrid, talento, Tecnología"
Ingeniaritza Kimikoa - Zientzia eta Teknologia Fakultatea - UPV/EHU,Ingeniería Química - Facultad de Ciencia y Tecnología - UPV/EHU
"Txandakako IMH Ingeniaritza burutzeko, derrigorrezkoa da 2. eta 3. maila artean, gutxienez 10 asteko lan egonaldi bat atzerrian gauzatzea.","Para finalizar la Ingeniería IMH en Alternancia, es indispensable haber realizado una estancia laboral de como mínimo 10 semanas, realizada normalmente entre 2º y 3º."
Eléctrica y Electrónica - Ingeniaritza Elektriko eta Elektronikoa Saila,Ingeniería en Electrónica y Comunicaciones Ingeniería Eléctrica y Electrónica
Hainbat lubaki eta ingeniaritza lan egin behar izan ziren.,En su ejecución fueron necesarias varias trincheras y obras de ingeniería.
"Ezaugarri onak direla eta, ingeniaritza zibileko komunitateek material konposatu aurreratuak erabiltzea pentsatu beharko lukete egitura berriak eraikitzeko eta lehendik daudenak errehabilitatzeko.","Debido a todas estas propiedades favorables, las comunidades de ingeniería civil deberían considerar el uso de los materiales compuestos avanzados tanto para construir las nuevas estructuras como para rehabilitar las ya existentes."
Txandakako IMH Ingeniaritzan proiektuen aurkezpenak,Presentación de proyectos en la Ingeniería IMH en Alternancia
"Trataera | Zurtek, ingeniaritza, eraikuntza eta zurezko egituren muntaketa","Tratamiento | ZURTEK, Ingeniería, construcción y montaje de estructuras en madera"
Industria Elektronikoren eta Automatikaren Ingeniaritzako Gradua (186KB),Grado en Ingeniería en Electrónica Industrial y Automática
"Belo Monte urtegia munduko ingeniaritza proiekturik handiena da egun, munduko hirugarren urtegirik handiena izango da.","El embalse de Belo Monte es en la actualidad uno de los proyectos de ingeniería más grandes del mundo, se convertirá en el tercer embalse mayor del mundo."
– Softwarearentzat onartutako aurrekontua (Aholkularitza edota Ingeniaritza Gastuentzat onartutako aurrekontuaren % 50eraino gehienez).,– El presupuesto aceptado en Software (hasta un máximo del 50% del presupuesto aceptado en Gastos de Consultoría y/o Ingeniería).
"Bestalde, Software Ingeniaritza espezialitateko “Web sistemak” irakasgaiarekin lotura dauka irakasgai honek beste ikuspuntu bat erabiliz biek azaltzen baitituzte web aplikazioen inguruko hainbat kontzeptu.","Por otra parte, esta asignatura tiene relación con la asignatura “Sistemas web” de la especialidad Ingeniería de software ya que ambas explican conceptos relacionados con las aplicaciones web, aunque usando un enfoque distinto."
"Iñaki Arrizabalaga eta Julen Arrieta, Ingeniaritza Dualeko ikasleak, RETO TEXTIAko finalisten aurkezpenean","Puedes Arrieta, alumnos de Ingeniería Dual, en la presentación de los finalistas del RETO TEXTIA"
"KARRERA BUKAERAKO PROIEKTUAK, INGENIARITZA KIMIKOKO TITULAZIOA Laster.","PROYECTOS FIN DE CARRERA, TITULACIÓN DE INGENIERÍA QUÍMICA"
"Ingeniaritza zibilaren adar klasiko bat da egitura-ingeniaritza, eta eraikuntza-lanen eta gainerakoen egiturazko alderdia diseinatzeaz eta kalkulatzeaz arduratzen da.Helburua da egiturak funtzionalak izatea eta egokiak izatea materialen erresistentziaren ikuspegitik.Azken batean, alde praktikotik, egitura-ingeniaritza da ingurune jarraituen mekanika aplikatzea egiturazko elementu eta sistemak diseinatzeko, hala nola eraikinak, zubiak, hormak (tartean, euste-hormak), presak eta tunelak.","CÁLCULOS ESTRUCTURALES La ingeniería estructural es una rama clásica de la práctico, la ingeniería estructural es la aplicación de la mecánica de medios continuos para el diseño de elementos y sistemas estructurales tales como edificios, puentes, muros (incluyendo muros de contención), presas, túneles, etc"
"Bestetik, IK4 Teknikerrek erreportaje bat argitaratuko du gure newsletterrean, zeinak 11.000 harpidedun baino gehiago dituen, talentua kudeatzeko garatzen dituen jardunbideei eta neurriei buruz. IK4 Tekniker, fabrikazio aurreratuko teknologietan, gainazalen ingeniaritzan, produktu-ingeniaritzan eta IKTetan espezializatutako zentro teknologikoa da.","Por su parte, IK4 Tekniker, centro tecnológico especializado en tecnologías de fabricación avanzada, ingeniería de superficies, ingeniería de producto y TICs, será premiada con la publicación de un reportaje en nuestra newsletter con más de 11.000 suscriptores acerca de las prácticas y medidas de gestión del talento que desarrolla en la misma."
2. maila: Ingeniaritza Mekanikoaren eta Elektrikoaren eta softwarearen eraketaren oinarriak ezagutuko dituzu.,2º curso: conocerás los fundamentos de la Ingeniería Mecánica y Eléctrica y de la construcción de software.
"ULMA Taldeak akordio bat izenpetu du Nafarroako Unibertsitateko Ingeniaritza Eskolarekin ikasleen prestakuntzan lankidetzan aritzeko, enpresaren lehiakortasuna bultzatu eta ikasleak lan mundura hurbiltzen lagunduko duten ekintzen bitartez.",El Grupo ULMA ha firmado un acuerdo con la Escuela de Ingenieros de la Universidad de Navarra para colaborar en la formación de los estudiantes mediante el desarrollo de acciones que fomenten la competitividad de la empresa y el acercamiento de los alumnos al mundo laboral.
UNIBASQeko txostena Industria Ingeniaritzako Unibertsitate Masterra,Informe UNIBASQ Grado en Ingeniería en Sistemas de Telecomunicación
"Ekonomia-finantzako Zuzendariorde Elena Bravo, Segurtasun eta Ingeniaritza Buru den Alejandro Urienekin eta Garbiketako Koordinatzailea den Ricardo Fernándezekin batera, saio hau aurkezteaz arduratu da.","La Subdirectora Económico Financiera, Elena Bravo, junto con Alejandro Urien, Jefe de Seguridad e Ingeniería y Ricardo Fernández, Coordinador de Limpieza, han sido los encargados de presentar esta sesión."
UPV/EHUko Gasteizko Ingeniaritza Eskolak FANUC-ko Robodrill Zentro berria bere ekipamenduan sartu du,La Escuela de Ingenieria de Vitoria-Gasteiz UPV/EHU incorpora a su equipamiento un nuevo Centro de Mecanizado Robodrill de FANUC
HurrengoaKantabriako Ingeniaritza Eskolako ikasleak bisitari Bilboko Portuko erdiko kai-muturreko obretan eta harrobi zaharra egonkortzeko lanetan,SiguienteAlumnos de la Escuela de Ingeniería de Cantabria visitan las obras del espigón central y la estabilización de la antigua cantera del Puerto de Bilbao Favoritos epuertobilbao
Gaia -- Hautatu gaia -- Guztiak Lanak Hirigintza Eraikingintza Eraikuntza Zaharberritzea eta ondarea Paisaia Interiorismoa Ingeniaritza eta teknologia berriak Teoria eta historia Estetika Saiakera Artea eta arkitektura Arkitektura eta gizartea Iraunkortasuna Lankidetza Sektoreko entitateak Argazkia Lanbidea Arkitektura iragankorrak Zinema eta eszenografia Bideojokoak Ilustrazioa eta komikiak Diseinua Poëte,Tema -- Seleccionar tema -- Todos Obra Urbanismo Edificación Construcción Restauración y Patrimonio Paisaje Interiorismo Ingeniería y Nuevas Tecnologías Teoría e Historia Estética Ensayo Arte y Arquitectura Arquitectura y Sociedad Sostenibilidad Cooperación Entidades del sector Fotografía Profesión Arquitecturas efímeras Cine y escenografía Videojuegos Ilustración y cómics Diseño Vivienda Acción social
"Sail honek Ingeniaritza Goi Eskola Teknikoan dauka bere egoitza, eta Fisikaren arloko ikasgaiez arduratzen da.",Este Departamento tiene su sede en la E.T.S. de Ingenieros y tiene a su cargo las asignaturas del área de Física.
INGENIARITZAKO GRADUONDOEN INBESTIDURA 2018 URTEROKO INGENIARITZA ALUMNI TOPAKETA 2017,INVESTIDURA POSGRADOS INGENIERÍA 2018 ENCUENTRO ANUAL ALUMNI INGENIERÍA 2017 + fotos
"Aurreko bi paragrafoetan ezarritakoa ez da aplikagarria izango NUPen 2017-2018 ikasturtea baino lehenagoko ikasturteetan matrikulatu diren ingeniaritzako eta unibertsitateko masterreko ikasleen kasuan, ikasketen amaierako lana egitea eta defenditzea baizik falta ez dutenean.",No será de aplicación para estudiantes de ingeniería y matriculados en la UPNA en cursos anteriores al 2017-2018 y que solo tengan pendiente de elaboración y defensa el trabajo fin de carrera ni para los estudiantes de Máster Universitario.
"Leherketa-arriskuen analisi kualitatibo eta kuantitatiboa egiten dugu HAZOP metodologia edo Ondorioen Kalkulua erabiliz, ingeniaritzan oinarrituta (plantaren Layout diseinua, eraikuntza-ezaugarriak, …).","Analizamos cualitativa y cuantitativamente los riesgos de explosión, mediante metodología HAZOP o Cálculo de Consecuencias, en fase de ingeniería (diseño de Layout de planta, características constructivas, …)."
Telekomunikazio Teknologiaren Ingeniaritzako Gradua,Grado en Ingeniería en Tecnología de Telecomunicación
Azalpena Enplegu Zerbitzuaren helburua da Gipuzkoako Ingeniaritza Eskolako (GIE) tituludunak lan munduan txertatzen laguntzea.,Descripción El servicio de colocación laboral tiene como objetivo facilitar la inserción laboral de los/as titulados/as en la Escuela de Ingeniería de Gipuzkoa (EIG).
"Hala eta guztiz ere, irakurritako mezuaren esaldi hori irakurri dudanean, '... Ingurumenarekin eta itsasoko babesarekin konprometituta dauden ingeniaritza-ikasle gazteei laguntzea eta itsasontzi konposite berritzaileak eraikitzea (karbono-zuntzezko papera) interes... "", zaletasuna izan nintzen"".","Sin embargo, cuando leí la oración en el correo electrónico que decía: '... para apoyar a un equipo de jóvenes estudiantes de ingeniería comprometidos con el medio ambiente y la protección de los océanos y construir barcos innovadores compuestos (uno con láminas de fibra de carbono) probablemente sería de su Interés... "", estaba enganchado""."
Ingeniaritza Elektronikoko Gradua - UPV/EHU,Doble Grado en Física y en Ingeniería Electrónica - UPV/EHU
Ver Ingurunearen Ingeniaritzan graduatua Nafarroako Unibertsitate Publikoan URI,Graduado o Graduada en Derecho por la Universidad Pública de Navarra / URI
"PREVENORek profesionalez osatutako garrantzizko talde bat du gaur egun; profesional hauek zenbait espezialitate teknikotan daude titulatuta (ingeniaritza, laneko medikuntza, kimika eta zuzenbidea), eta guztiek Goi Mailako Teknikariak dira laneko arriskuen prebentzioaren alorrean.","PREVENOR cuenta en su plantilla con un importante equipo integrado por Profesionales Titulados en diferentes especialidades técnicas (ingeniería, medicina del trabajo, química y derecho), todos ellos Técnicos Superiores en requiera."
"Zeregin honetan badu eskarmentua, 1996an Ingeniaritza Dualaren Eskola abiatu zuen Frantziako CESI taldearekin elkarlanean.",En 1996 puso en marcha la Escuela de Ingeniería Dual en colaboración con el Grupo CESI.
"Ingeniaritza Dualaren Unibertsitate Eskolak komunikazioa aurkeztu zuen EDULEARN biltzarrean Nazioarteko hezkuntza eta teknologia uztartzen dituen nazioarteko batzar honetan UPV/EHU ordezkatuz, IMHko Ingeniaritza Dualaren Unibertsitate Eskolako arduradun pedagogikoak garatzen diharduen tesi doktoralaren komunikazioa egin zuen.","La Escuela Universitaria de Ingeniería Dual presentó su comunicación en el Congreso EDULEARN Representando a la UPV/EHU, el Diretor pedagógico de la Escuela Universitaria de Ingeniería Dual del IMH expuso la comunicación de su tesis doctoral en este congreso internacional sobre educación y tecnología."
"Ingeniaritza lan handi honen zatiak, Fossa Corbulonis edo Korbulonen Kanala bezala ezagutzen direnak, indusketa arkeologiko batean aurkitu dira.",Partes de esta gran obra de ingeniería que se conocen como Fossa Corbulonis o Canal de Corbulón se han encontrado en una excavación arqueológica.
"Hasierako agurraren ondoren, Ole Madsen Doktorearen hitzaldia egon zen, Aalborgeko (Danimarka) Unibertsitateko ingeniaritza mekanikoko eta fabrikazioko departamentuko irakasle-ikertzailearena. Jardunaldi honetan lankidetza-roboten inguruan hitz egin zuen eta horiek fabrikazio aurreratuko inguruneetan jokatuko duten paper zentralaren gainean.","El congreso fue inaugurado departamento de ingeniería mecánica y fabricación de la Universidad de Aalborg (Dinamarca), quien disertó sobre los robots colaborativos y el papel central que están llamados a jugar en los entornos de fabricación avanzada."
"Ingeniaritza zibila, topografia eta eraikuntza","civil, topografía y construcción"
