Basque (eu),Spanish (es),Spanish_Translation
"Ingeniaritza Mekanikoko titulazioan, 81 emakumek eta 293 gizonek amaitu zituzten ikasketak; Industria Ingeniaritza Elektronikoan eta Automatikoan, berriz, 19 emakumek eta 114 gizonek.",En la titulación de grado en Ingeniería mecánica 81 mujeres y 293 hombres finalizaron estudios; en el grado en Ingeniería Electrónica Industrial y Automática 19 mujeres y 114 hombres lo hicieron.,"En la titulación de Ingeniería Mecánica, 81 mujeres y 293 hombres terminaron sus estudios; 19 mujeres y 114 hombres en Ingeniería Electrónica Industrial y Automática."
ENEDI (Energética en la Edificación) Ikerketa Taldeak egingo ditu hitzarmen horretan egin beharreko lanak. EHUko Materialen Ingeniaritzako Makina eta Motor Termikoen Saileko kideek osatzen dute talde hori.,"Los trabajos que se van a desarrollar en el marco de este convenio serán llevados a cabo por el Grupo de Investigación ENEDI (Energética en la Edificación), compuesto por miembros del Departamento de Máquinas y Motores Térmicos y el de Ingeniería de Materiales de la UPV/EHU.","El Grupo de Investigación ENEDI (Energía en la Edificación) realizará los trabajos a realizar en este convenio, que está formado por miembros del Departamento de Ingeniería de Materiales y Motores Térmicos de la UPV/EHU."
"Horren adibide dugu Fernando Capelastegui Herrero jauna, zeinak Bilboko Ingeniaritza Eskolako Fundazioak sustatutako “Ingenia Saria” jaso baitzuen iaz Urkullu lehendakariaren eta EHUko errektore Iñaki Goirizelaiaren eskutik.","Las personas que integran SECOT, suelen ser gran referente de dedicación a tareas de voluntariado. Ejemplo de ello es D.Fernando Capelastegui Herrero, que también el pasado año recibió promueve la Fundación Escuela de Ingenieros de Bilbao (FEIB).","Ejemplo de ello es el Sr. Fernando Capelastegui Herrero, que recibió el año pasado el Premio RIGENÍN promovido por la Fundación Escuela de Ingeniería de Bilbao, de la mano del presidente Urkullu y del Rector de la UPV, Iñaki Goirizelaia."
"2018/07/15 Hezkuntza sailburuordea Ebazpena, 2018ko martxoaren 19koa, zeinaren bidez Haur Hezkuntzako, Lehen Hezkuntzako eta Derrigorrezko Bigarren Hezkuntzako ikastetxe publikoei dei egiten baitzaie 2018-2019 ikasturtean STEAM (Zientzia, Teknologia, Ingeniaritza, Artea eta Matematikak) arloetan berrikuntza-proiektuak gara ditzaten.","15/07/2018 Viceconsejera de Educación Resolución de 19 de marzo de 2018, por la que se convoca a los centros públicos de Educación Infantil, Primaria y Secundaria para el desarrollo de Proyectos de innovación en STEAM (Science, Technology, Engineering, Art & Maths), durante el curso 2018-2019.","15/07/2018 Resolución de 19 de marzo de 2018 por la que se convoca a los centros públicos de Educación Infantil, Primaria y Secundaria Obligatoria para el desarrollo de proyectos de innovación en el área de la SETEAM ( Ciencia, Tecnología, Ingeniería, Arte y Matemáticas) en el curso 2018-2019."
Ingeniaritza Mekanikoa + Industria Elektronika eta Automatikaren Ingeniaritza,Ingeniería Mecánica + Ingeniería Electrónica Industrial y Automática,Ingeniería Mecánica + Ingeniería Electrónica Industrial y Automática
"Benetan benetako ostatatze bazkide bat bilatzen duten bezeroek gure eskaintza gehien eskertzen dute; Hemen gara ingeniaritza, diseinua, ezarpena, jarraipena eta laguntza.","Los clientes que buscan un verdadero socio de alojamiento aprecian nuestra oferta sobre todo; estamos allí para ayudar con la ingeniería, el diseño, la implementación, el monitoreo y el soporte.","Los clientes que realmente buscan un alojamiento real agradecen nuestra oferta; aquí estamos la ingeniería, el diseño, la implantación, el seguimiento y la ayuda."
Geomatika eta Topografia Ingeniaritzako taulak,Ingeniería Geomática y Topografía Ingeniería Eléctrica,Tablas de Ingeniería Geomática y Topografía
EFIBeko (Bioingeniaritzako Europar Federazioa) idazkaria.,Secretario de EFIB (Federación Europea de Bioingeniería).,Secretaria del EFIB (Federación Europea de Ingeniería Bio).
"Diziplina zientifikoetan, aurreko urteetan bezalaxe, Gipuzkoa aurrena, non ingeniaritza eta teknologia I+G gastuaren %78,8 diren.","En cuanto a las disciplinas científicas, y al igual que en años anteriores, destaca Gipuzkoa, donde la Ingeniería y tecnología supone el 78,8% del gasto en I+D.","En las disciplinas científicas, como en años anteriores, Gipuzkoa es la primera, donde la ingeniería y la tecnología representan el 78,8% del gasto en I+D."
Unibasq-ek Automobilgintzaren Ingeniaritzako Graduaren aldeko egiaztapen txostena eman du,Unibasq emite informe favorable de verificación del Grado en Ingeniería en Automoción.,Unibasq emite un informe de certificación a favor del Grado en Ingeniería en Automoción
Nafarroako Unibertsitate Publikoko Unibertsitate Masterra Telekomunikazio Ingeniaritzan,Máster Universitario en Ingeniería de Materiales y Fabricación,Master Universitario en Ingeniería de Telecomunicaciones en la Universidad Pública de Navarra
"AGINDUA, 2017ko maiatzaren 16koa, Gobernantza Publiko eta Autogobernuko sailburuarena. Honen bidez, onartu egiten da Industria Ingeniaritzako Gradudunen, Ingeniari Tekniko Industrialen eta Peritu Industrialen Gipuzkoako Elkargo Ofizialeko estatutuen 2. artikulua…","mayo de 2017, del Consejero de Gobernanza Pública y Autogobierno, por la que se aprueba la modificación del artículo 2 de los estatutos del Colegio Oficial de Graduados en Ingeniería de la Rama Industrial, Ingenieros Técnicos Industriales y Peritos…","ORDEN de 16 de mayo de 2017, del Consejero de Gobernanza Pública y Autogobierno, por la que se aprueba el artículo 2 de los Estatutos del Colegio Oficial de Ingenieros Técnicos Industriales y Peritos Industriales de Gipuzkoa..."
"• MASTER BUKAERAKO LANAGATIK BEKA Master bukaerako lana eta honi lotutako praktikak ingeniaritzako ikasketen azkeneko fasean burutzen dira 5 hilabetez, non ikasleak praktikan jartzen dituen karreran ikasitako ezagutza eta ahalmenak ingurugiro erreal batean (enpresa, zentro teknologiko, ikerketa laborategi).","El trabajo fin de Máster y las prácticas asociadas se realizan en la fase final de los estudios de ingeniería con una duración de 5 meses, donde el alumno/a pone en práctica en un entorno real (empresa, centro tecnológico, laboratorio de investigación) los conocimientos y capacidades adquiridas en la carrera.","El trabajo de fin de Master BEKA y sus prácticas relacionadas con la realización de 5 meses en la fase final de Ingeniería, en la que el alumno pone en práctica los conocimientos y facultades adquiridos en la carrera en un medio ambiente real (empresa, centro tecnológico, laboratorio de investigación)."
"Ada Byron, Giza Eskubideak, Enplegua eta Ekintzailetza, Enpresa eta Industria, Ingeniaritza Fakultatea, igualdad, industria, Mujer, Teknologia Berriak eta Internet, Aisia eta Kultura, Madrilgo Egoitza, talento, Tecnología","Ada Byron, Derechos Humanos, Empleo y Emprendimiento, Empresa e Industria, Facultad de Ingeniería, igualdad, industria, Mujer, Nuevas Tecnologías e Internet, Ocio y Cultura, Sede Madrid, talento, Tecnología","Ada Byron, Derechos Humanos, Empleo y Emprendizaje, Empresa e Industria, Facultad de Ingeniería, Igualdad, Industria, Mujeres, Nuevas Tecnologías y Internet, Ocio y Cultura, Residencia de Madrid, Talento, Tecnología"
Ingeniaritza Kimikoa - Zientzia eta Teknologia Fakultatea - UPV/EHU,Ingeniería Química - Facultad de Ciencia y Tecnología - UPV/EHU,Ingeniería Química - Facultad de Ciencia y Tecnología - UPV/EHU
"Txandakako IMH Ingeniaritza burutzeko, derrigorrezkoa da 2. eta 3. maila artean, gutxienez 10 asteko lan egonaldi bat atzerrian gauzatzea.","Para finalizar la Ingeniería IMH en Alternancia, es indispensable haber realizado una estancia laboral de como mínimo 10 semanas, realizada normalmente entre 2º y 3º.","Para la realización de la Ingeniería IMH por turno es obligatorio, entre 2o y 3o, realizar una estancia laboral de 10 semanas en el extranjero."
Eléctrica y Electrónica - Ingeniaritza Elektriko eta Elektronikoa Saila,Ingeniería en Electrónica y Comunicaciones Ingeniería Eléctrica y Electrónica,Electrónica y Electrónica - Departamento de Ingeniería Eléctrica y Electrónica
Hainbat lubaki eta ingeniaritza lan egin behar izan ziren.,En su ejecución fueron necesarias varias trincheras y obras de ingeniería.,Hubo que trabajar varias trincheras y ingeniería.
"Ezaugarri onak direla eta, ingeniaritza zibileko komunitateek material konposatu aurreratuak erabiltzea pentsatu beharko lukete egitura berriak eraikitzeko eta lehendik daudenak errehabilitatzeko.","Debido a todas estas propiedades favorables, las comunidades de ingeniería civil deberían considerar el uso de los materiales compuestos avanzados tanto para construir las nuevas estructuras como para rehabilitar las ya existentes.","Por buenas características, las comunidades de ingeniería civil deberían pensar en utilizar materiales compuestos avanzados para la construcción de nuevas estructuras y rehabilitación de los existentes."
Txandakako IMH Ingeniaritzan proiektuen aurkezpenak,Presentación de proyectos en la Ingeniería IMH en Alternancia,Presentación de proyectos de Ingeniería IMH en Turno
"Trataera | Zurtek, ingeniaritza, eraikuntza eta zurezko egituren muntaketa","Tratamiento | ZURTEK, Ingeniería, construcción y montaje de estructuras en madera","Tratamiento 1900 Montaje de estructuras de madera, ingeniería, construcción y madera"
Industria Elektronikoren eta Automatikaren Ingeniaritzako Gradua (186KB),Grado en Ingeniería en Electrónica Industrial y Automática,Grado en Ingeniería Electrónica Industrial y Automática (18KB)
"Belo Monte urtegia munduko ingeniaritza proiekturik handiena da egun, munduko hirugarren urtegirik handiena izango da.","El embalse de Belo Monte es en la actualidad uno de los proyectos de ingeniería más grandes del mundo, se convertirá en el tercer embalse mayor del mundo.","El embalse de Belo Monte es actualmente el proyecto de ingeniería más grande del mundo, siendo el tercer embalse más grande del mundo."
– Softwarearentzat onartutako aurrekontua (Aholkularitza edota Ingeniaritza Gastuentzat onartutako aurrekontuaren % 50eraino gehienez).,– El presupuesto aceptado en Software (hasta un máximo del 50% del presupuesto aceptado en Gastos de Consultoría y/o Ingeniería).,- Presupuesto aprobado para el software (máximo del 50% del presupuesto aprobado para gastos de gestión e ingeniería).
"Bestalde, Software Ingeniaritza espezialitateko “Web sistemak” irakasgaiarekin lotura dauka irakasgai honek beste ikuspuntu bat erabiliz biek azaltzen baitituzte web aplikazioen inguruko hainbat kontzeptu.","Por otra parte, esta asignatura tiene relación con la asignatura “Sistemas web” de la especialidad Ingeniería de software ya que ambas explican conceptos relacionados con las aplicaciones web, aunque usando un enfoque distinto.","Por otra parte, el sistema de Ingeniería Software (RAW) tiene que ver con la asignatura GNU, ya que ambos explican conceptos sobre aplicaciones web desde otro punto de vista."
"Iñaki Arrizabalaga eta Julen Arrieta, Ingeniaritza Dualeko ikasleak, RETO TEXTIAko finalisten aurkezpenean","Puedes Arrieta, alumnos de Ingeniería Dual, en la presentación de los finalistas del RETO TEXTIA","Iñaki Arrizabalaga y Julen Arrieta, alumnos de Ingeniería Dual en la presentación de los finalistas de RETO TEXTIA"
"KARRERA BUKAERAKO PROIEKTUAK, INGENIARITZA KIMIKOKO TITULAZIOA Laster.","PROYECTOS FIN DE CARRERA, TITULACIÓN DE INGENIERÍA QUÍMICA","PROYECTOS FIN DE CARRERA, TITULACIÓN DE INGENIERÍA CÍMICA pronto."
